,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,adobe,49.99,final draft av 2.5 win/mac,nan,49.99,instant immersion 33 languages,0
1,macsoft,49.99,instant immersion 33 languages,nan,49.99,instant immersion 33 languages,1
2,me-too-software,49.99,instant immersion 33 languages,global-software-publishing,249.95,microsoft ( r ) money 2007 premium,0
3,global-software-publishing,129.99,instant immersion 33 languages,sibelius-software-ltd .,47.36,instant immersion 33 languages,1
4,final draft,49.99,instant immersion 33 languages,nan,49.99,instant immersion 33 languages,1
5,global-software-publishing,49.99,instant immersion 33 languages,riverdeep-learning-company,229.95,instant immersion 33 languages,1
6,hewlett-packard - ( consumables ),799.95,instant immersion 33 languages,sibelius-software-ltd .,249.95,instant immersion 33 languages,1
7,macsoft,49.99,instant immersion 33 languages,punch software,49.99,instant immersion 33 languages,1
8,global-software-publishing,129.99,instant immersion 33 languages,sibelius-software-ltd .,47.36,apple software m9372z/a final cut express 2.0 upgrade,1
9,apple,49.99,instant immersion 33 languages,nan,79.99,adobe photoshop elements 4.0 photo-editing software for mac,0
