,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,instant immersion ingles audio deluxe,topics entertainment,,instant immersion italian audio ( audio book ),,39.99,"('rtable_title',)",['instant immersion spanish deluxe 2.0 topics'],['instant immersion italian audio ( audio book )'],0.015470516,0.9845295,2
15,instant immersion ingles audio deluxe,topics entertainment,,immersion ingles audio deluxe,topics entertainment,39.99,"('rtable_title', 'rtable_manufacturer')","['instant immersion spanish deluxe 2.0 topics', nan]","['immersion ingles audio deluxe', 'topics entertainment']",0.14413004,0.85587,2
13,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio deluxe,,,"('rtable_title', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', 39.99]","['instant immersion ingles audio deluxe', nan]",0.02604065,0.9739594,2
12,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio deluxe,topics,39.99,"('rtable_title', 'rtable_manufacturer')","['instant immersion spanish deluxe 2.0 topics', nan]","['instant immersion ingles audio deluxe', 'topics']",0.089433745,0.9105663,2
11,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio deluxe,,39.99,"('rtable_title',)",['instant immersion spanish deluxe 2.0 topics'],['instant immersion ingles audio deluxe'],0.05373087,0.94626915,2
16,instant immersion ingles audio deluxe,topics entertainment,,immersion ingles audio deluxe,,,"('rtable_title', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', 39.99]","['immersion ingles audio deluxe', nan]",0.088982195,0.9110178,2
7,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio,topics entertainment,39.99,"('rtable_title', 'rtable_manufacturer')","['instant immersion spanish deluxe 2.0 topics', nan]","['instant immersion ingles audio', 'topics entertainment']",0.0767854,0.92321455,2
8,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio,,,"('rtable_title', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', 39.99]","['instant immersion ingles audio', nan]",0.038645446,0.96135455,2
4,instant immersion spanish deluxe,,,instant immersion spanish deluxe 2.0 topics,,39.99,"('ltable_title', 'ltable_manufacturer')","['instant immersion ingles audio deluxe', 'topics entertainment']","['instant immersion spanish deluxe', nan]",0.43447113,0.56552887,2
2,instant immersion ingles audio deluxe,topics entertainment,,instant immersion italian audio ( audio book ),,19.95,"('rtable_title', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', 39.99]","['instant immersion italian audio ( audio book )', 19.95]",0.012572269,0.9874277,2
1,instant immersion ingles audio deluxe,topics entertainment,,instant immersion italian audio ( audio book ),,39.99,"('rtable_title', 'rtable_manufacturer')","['instant immersion spanish deluxe 2.0 topics', nan]","['instant immersion italian audio ( audio book )', nan]",0.015470516,0.9845295,2
6,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio,,39.99,"('rtable_title',)",['instant immersion spanish deluxe 2.0 topics'],['instant immersion ingles audio'],0.037771195,0.96222883,2
5,instant immersion spanish deluxe,,39.99,instant immersion spanish deluxe 2.0 topics,,39.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['instant immersion ingles audio deluxe', 'topics entertainment', nan]","['instant immersion spanish deluxe', nan, 39.99]",0.37880775,0.6211922,3
9,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio,topics entertainment,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', nan, 39.99]","['instant immersion ingles audio', 'topics entertainment', nan]",0.020105703,0.97989434,3
10,instant immersion,,39.99,instant immersion spanish deluxe 2.0 topics,,39.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['instant immersion ingles audio deluxe', 'topics entertainment', nan]","['instant immersion', nan, 39.99]",0.2072948,0.79270524,3
3,instant immersion ingles audio deluxe,topics entertainment,,instant immersion italian audio ( audio book ),,19.95,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', nan, 39.99]","['instant immersion italian audio ( audio book )', nan, 19.95]",0.012572269,0.9874277,3
14,instant immersion ingles audio deluxe,topics entertainment,,instant immersion ingles audio deluxe,topics,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', nan, 39.99]","['instant immersion ingles audio deluxe', 'topics', nan]",0.027706387,0.9722936,3
17,instant immersion ingles audio deluxe,topics entertainment,,immersion ingles audio deluxe,topics entertainment,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['instant immersion spanish deluxe 2.0 topics', nan, 39.99]","['immersion ingles audio deluxe', 'topics entertainment', nan]",0.029892996,0.97010696,3
