,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,final draft,89.99,panda internet security 2007 3-user,nan,89.99,mcafee internet security suite 2007 3-user ( pc ),1
1,panda software,79.99,panda internet security 2007 3-user,nan,199.99,passwords plus v. 1.0 complete package,1
2,global-software-publishing,nan,panda internet security 2007 3-user,global-software-publishing,89.99,mcafee internet security suite 2007 3-user ( pc ),1
3,global-software-publishing,69.95,panda internet security 2007 3-user,global-software-publishing,35.99,punch software 20100 punch ! 5 in 1 home design,1
4,final draft,89.99,panda internet security 2007 3-user,riverdeep-learning-company,89.99,mcafee internet security suite 2007 3-user ( pc ),1
5,steinberg,229.99,panda internet security 2007 3-user,nan,79.99,mcafee internet security suite 2007 3-user ( pc ),0
6,global-software-publishing,69.95,panda internet security 2007 3-user,global-software-publishing,24.58,mcafee internet security suite 2007 3-user ( pc ),1
7,global-software-publishing,630.36,panda internet security 2007 3-user,global-software-publishing,89.99,instant immersion spanish deluxe 2.0 topics,1
8,me-too-software,69.95,panda internet security 2007 3-user,riverdeep-learning-company,85.95,mcafee internet security suite 2007 3-user ( pc ),1
9,global-software-publishing,69.95,panda internet security 2007 3-user,global-software-publishing,99.99,migo software digital file shredder 2005,1
