,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,140.0,felidia,' 243 e. 58th st. ',` west la ',212-758-1479,italian,33.0,1
1,oritalia,' 240 e. 58th st. ',` new york ',212/688 -4190,seafood,195.0,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33.0,1
2,bruno,' 240 e. 58th st. ',` las vegas ',212/688 -4190,italian,195.0,felidia,' 243 e. 58th st. ',venice,212-758-1479,italian,33.0,1
3,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195.0,` indigo coastal grill ',' 1397 n. highland ave. ',` new york city ',212-758-1479,italian,33.0,1
4,` cafe roma ',' 3570 las vegas blvd. s ',` new york ',212/688 -4190,italian,195.0,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33.0,1
5,bruno,' 595 piedmont ave. rio shopping mall ',` new york ',212/688 -4190,italian,195.0,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33.0,1
6,` les celebrites ',' 240 e. 58th st. ',` new york ',212/688 -4190,` coffee shops/diners ',195.0,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33.0,1
7,bruno,' 3799 las vegas blvd. s ',` new york ',212/688 -4190,italian,195.0,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,682.0,1
8,` pen & pencil ',' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195.0,felidia,' 243 e. 58th st. ',` new york city ',310-545-5177,italian,33.0,1
9,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195.0,felidia,' 709 n. la brea ave. ',` new york city ',212-758-1479,scandinavian,33.0,1
