,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,808.15,"('rtable_title',)",['production prem cs3 mac upgrad'],['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra'],1,0,0.012030408,0.98796964,2
18,,production prem cs3,adobe,808.15,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['production prem cs3', 808.15]",1,0,0.012962862,0.9870372,2
14,,prem cs3 mac upgrad,adobe,808.15,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['prem cs3 mac upgrad', 808.15]",1,0,0.012984814,0.98701525,2
13,,prem cs3 mac upgrad,,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['prem cs3 mac upgrad', nan]",1,0,0.021809097,0.9781909,2
12,,prem cs3 mac upgrad,adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title',)",['adobe creative suite cs3 production premium upsell'],['prem cs3 mac upgrad'],1,0,0.05218532,0.94781464,2
22,,production prem cs3 mac,adobe,808.15,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 1199.0]","['production prem cs3 mac', 808.15]",1,0,0.01355799,0.98644197,2
9,,adobe creative suite cs3 production premium upsell,adobe,1199.0,adobe contribute cs3 upgrade,,82.99,"('rtable_title', 'rtable_price')","['production prem cs3 mac upgrad', 808.15]","['adobe contribute cs3 upgrade', 82.99]",1,0,0.025614712,0.9743853,2
16,,production prem cs3,adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title',)",['adobe creative suite cs3 production premium upsell'],['production prem cs3'],1,0,0.32412472,0.67587525,2
8,,adobe creative suite cs3 production premium upsell,adobe,1199.0,adobe contribute cs3 upgrade,,808.15,"('rtable_title',)",['production prem cs3 mac upgrad'],['adobe contribute cs3 upgrade'],1,0,0.23484282,0.76515716,2
6,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,"('rtable_title', 'rtable_price')","['production prem cs3 mac upgrad', 808.15]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', 1687.48]",1,0,0.012615948,0.9873841,2
5,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,808.15,"('rtable_title', 'rtable_manufacturer')","['production prem cs3 mac upgrad', nan]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', nan]",1,0,0.012748572,0.9872514,2
4,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,808.15,"('rtable_title',)",['production prem cs3 mac upgrad'],['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra'],1,0,0.012030408,0.98796964,2
21,,production prem cs3 mac,,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['production prem cs3 mac', nan]",1,0,0.032259174,0.96774083,2
2,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,"('rtable_title', 'rtable_price')","['production prem cs3 mac upgrad', 808.15]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', 1687.48]",1,0,0.012615948,0.9873841,2
1,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,808.15,"('rtable_title', 'rtable_manufacturer')","['production prem cs3 mac upgrad', nan]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', nan]",1,0,0.012748572,0.9872514,2
20,,production prem cs3 mac,adobe,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title',)",['adobe creative suite cs3 production premium upsell'],['production prem cs3 mac'],1,0,0.20089585,0.79910415,2
17,,production prem cs3,,1199.0,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 production premium upsell', 'adobe']","['production prem cs3', nan]",1,0,0.021977639,0.97802234,2
19,,production prem cs3,,808.15,production prem cs3 mac upgrad,,808.15,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe creative suite cs3 production premium upsell', 'adobe', 1199.0]","['production prem cs3', nan, 808.15]",1,0,0.015028265,0.9849717,3
11,,adobe creative suite cs3 production premium upsell,adobe,1199.0,upgrade 3d for exceed,hummingbird communications,,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['production prem cs3 mac upgrad', nan, 808.15]","['upgrade 3d for exceed', 'hummingbird communications', nan]",1,0,0.27261898,0.727381,3
10,,adobe creative suite cs3 production premium upsell,adobe,1199.0,adobe contribute cs3 upgrade,,82.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['production prem cs3 mac upgrad', nan, 808.15]","['adobe contribute cs3 upgrade', nan, 82.99]",1,0,0.06274792,0.9372521,3
7,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['production prem cs3 mac upgrad', nan, 808.15]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', nan, 1687.48]",1,0,0.012530517,0.98746955,3
3,,adobe creative suite cs3 production premium upsell,adobe,1199.0,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['production prem cs3 mac upgrad', nan, 808.15]","['19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra', nan, 1687.48]",1,0,0.012530517,0.98746955,3
