,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,mining association rules between sets of,"a savasere , e omiecinski , s navathe",vldb,1995.0,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title',)",['an efficient algorithm for mining association rules in large databases'],['mining association rules between sets of'],0.006142961,0.9938571,2
26,mining association rules between sets of items in large databases . 1993,"a savasere , e omiecinski , s navathe",. acm sigmod international conference on management of,1995.0,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title', 'ltable_venue')","['an efficient algorithm for mining association rules in large databases', 'vldb']","['mining association rules between sets of items in large databases . 1993', '. acm sigmod international conference on management of']",0.00010289272,0.9998971,2
27,mining association rules between sets of items in large databases . 1993,"a savasere , e omiecinski , s navathe",vldb,,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title', 'ltable_year')","['an efficient algorithm for mining association rules in large databases', 1995.0]","['mining association rules between sets of items in large databases . 1993', nan]",0.010947271,0.9890527,2
32,mining association rules between sets of items in large databases . 1993,"a savasere , e omiecinski , s navathe",vldb,1995.0,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title',)",['an efficient algorithm for mining association rules in large databases'],['mining association rules between sets of items in large databases . 1993'],0.020918848,0.9790812,2
33,mining association rules between sets of items in large databases . 1993,r,vldb,1995.0,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title', 'ltable_authors')","['an efficient algorithm for mining association rules in large databases', 'a savasere , e omiecinski , s navathe']","['mining association rules between sets of items in large databases . 1993', 'r']",0.006060247,0.99393976,2
34,mining association rules between sets of items in large databases . 1993,"a savasere , e omiecinski , s navathe",proc . acm sigmod international conference on management of,1995.0,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('ltable_title', 'ltable_venue')","['an efficient algorithm for mining association rules in large databases', 'vldb']","['mining association rules between sets of items in large databases . 1993', 'proc . acm sigmod international conference on management of']",2.0849453e-05,0.99997914,2
40,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,an efficient algorithm for mining association rules in large databases,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,,"('rtable_title',)",['mining association rules between sets of items in large databases . 1993'],['an efficient algorithm for mining association rules in large databases'],0.00012765104,0.9998723,2
41,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,an efficient algorithm for mining association rules in large databases,", e omiecinski , s navathe",proc . acm sigmod international conference on management of,,"('rtable_title', 'rtable_authors')","['mining association rules between sets of items in large databases . 1993', 'r agrawal , t imielinski , a swami']","['an efficient algorithm for mining association rules in large databases', ', e omiecinski , s navathe']",3.423746e-05,0.9999658,2
42,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,an efficient algorithm for mining association rules in large databases,"r agrawal , t imielinski , a swami",vldb,,"('rtable_title', 'rtable_venue')","['mining association rules between sets of items in large databases . 1993', 'proc . acm sigmod international conference on management of']","['an efficient algorithm for mining association rules in large databases', 'vldb']",6.219202e-05,0.9999378,2
43,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995.0,an efficient algorithm for mining association rules in large databases,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,1995.0,"('rtable_title', 'rtable_year')","['mining association rules between sets of items in large databases . 1993', nan]","['an efficient algorithm for mining association rules in large databases', 1995.0]",0.000106402884,0.99989355,2
