,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` luna si ',' 1931 peachtree rd. ',atlanta,310/289 -0660,continental,145.0,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706.0,1
1,` luna si ',' 1931 peachtree rd. ',atlanta,212/484 -5113,continental,405.0,nava,' 3060 peachtree rd. ',atlanta,310-545-5177,southwestern,706.0,1
2,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405.0,nava,' 3060 peachtree rd. ',atlanta,404-876-4408,southwestern,706.0,1
3,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,international,405.0,` ritz-carlton dining room ( buckhead ) ',' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706.0,1
4,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405.0,` apple pan the ',' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,74.0,1
5,manora,' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405.0,nava,' 3060 peachtree rd. ',atlanta,702-252-7702,southwestern,706.0,1
6,` luna si ',' 1931 peachtree rd. ',atlanta,702/732 -6330,continental,405.0,nava,'67 n. raymond ave. ',atlanta,404-240-1984,southwestern,706.0,1
7,` palace court ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,116.0,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706.0,1
8,` luna si ',' 1931 peachtree rd. ',atlanta,404/237 -2700,continental,22.0,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706.0,1
9,` hedgerose heights inn ',' 1931 peachtree rd. ',atlanta,404/237 -2700,continental,405.0,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706.0,1
