,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,89.0,toshiba sd-p71s 7 ' portable dvd player,lg 5.6 cu.ft . freestanding electric range,nan,0
1,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,panasonic kx-tsc14w 2-line telephone,nan,0
2,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,nan,lg 5.6 cu.ft . freestanding electric range,479.0,0
3,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,canon pixma multifunction printer mx310,nan,nan,lg 5.6 cu.ft . freestanding electric range,nan,0
4,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,lithium ion ( li-ion ) photo battery,sony dpfv900 digital photo frame dpf-v900,nan,0
5,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver",lg 5.6 cu.ft . freestanding electric range,1699.98,0
6,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,samsung pn58a550 58 ' plasma tv,nan,0
7,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,lg 5.6 cu.ft . freestanding electric range,397.77,0
8,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,139.0,nan,lg 5.6 cu.ft . freestanding electric range,639.95,0
9,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,lg 5.6 cu . ft. black freestanding electric range lre30453bk,nan,nan,canon powershot a590 is digital camera 2462b001,nan,0
