,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,adobe creative suite cs3 design premium [ mac ],adobe-education-box,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer',)",['adobe'],['adobe-education-box'],0.35011223,0.64988774,2
15,persoft upg smarterm office v12 .1 73098 ),persoft,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 design premium [ mac ]', 'adobe']","['persoft upg smarterm office v12 .1 73098 )', 'persoft']",0.40522403,0.5947759,2
14,adobe creative suite cs3 design premium [ mac ],persoft,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer',)",['adobe'],['persoft'],0.350112,0.64988804,2
13,adobe creative suite cs3 design premium [ mac ],adobe,99.99,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer', 'ltable_price')","['adobe', 1799.0]","['adobe', 99.99]",0.4348068,0.56519324,2
12,adobe creative suite cs3 design premium [ mac ],adobe,99.99,adobe cs3 design standard academic,,385.99,"('ltable_price',)",[1799.0],[99.99],0.4348068,0.56519324,2
11,adobe creative suite cs3 design premium [ mac ],punch ! software,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer',)",['adobe'],['punch ! software'],0.46738738,0.5326127,2
9,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 design standard academic,,385.99,"('ltable_title', 'ltable_price')","['adobe creative suite cs3 design premium [ mac ]', 1799.0]","['adobe cs3 design standard macosx dvd', 399.0]",0.43784323,0.5621567,2
16,adobe creative suite cs3 design premium [ mac ],persoft,,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer', 'ltable_price')","['adobe', 1799.0]","['persoft', nan]",0.19550046,0.8044995,2
8,adobe cs3 design standard macosx dvd,adobe,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_title', 'ltable_manufacturer')","['adobe creative suite cs3 design premium [ mac ]', 'adobe']","['adobe cs3 design standard macosx dvd', 'adobe']",0.43784323,0.5621567,2
6,adobe creative suite cs3 design premium [ mac ],encore software,99.99,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer', 'ltable_price')","['adobe', 1799.0]","['encore software', 99.99]",0.4923572,0.50764287,2
5,adobe creative suite cs3 design premium [ mac ],adobe,99.99,adobe cs3 design standard academic,,385.99,"('ltable_price',)",[1799.0],[99.99],0.4348068,0.56519324,2
4,adobe creative suite cs3 design premium [ mac ],sony-online-entertainment,49.99,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer', 'ltable_price')","['adobe', 1799.0]","['sony-online-entertainment', 49.99]",0.4675407,0.53245926,2
3,adobe creative suite cs3 design premium [ mac ],sony-online-entertainment,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer',)",['adobe'],['sony-online-entertainment'],0.35011223,0.64988774,2
2,adobe creative suite cs3 design premium [ mac ],efrontier,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer',)",['adobe'],['efrontier'],0.35011223,0.64988774,2
1,adobe creative suite cs3 design premium [ mac ],adobe-education-box,69.0,adobe cs3 design standard academic,,385.99,"('ltable_manufacturer', 'ltable_price')","['adobe', 1799.0]","['adobe-education-box', 69.0]",0.26510355,0.7348965,2
7,adobe cs3 design standard macosx dvd,adobe,1799.0,adobe cs3 design standard academic,,385.99,"('ltable_title',)",['adobe creative suite cs3 design premium [ mac ]'],['adobe cs3 design standard macosx dvd'],0.43784323,0.5621567,2
10,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 design standard academic,,385.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe creative suite cs3 design premium [ mac ]', 'adobe', 1799.0]","['adobe cs3 design standard macosx dvd', 'adobe', 399.0]",0.43784323,0.5621567,3
17,persoft upg smarterm office v12 .1 73098 ),persoft,,adobe cs3 design standard academic,,385.99,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe creative suite cs3 design premium [ mac ]', 'adobe', 1799.0]","['persoft upg smarterm office v12 .1 73098 )', 'persoft', nan]",0.14060403,0.859396,3
