,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Heist Brewery,Spice/Herb/Vegetable,8.79 %,1
1,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Big Island Brewhaus,Amber Ale,-,1
2,Bulleit Bourbon Barrel Aged G'Knight,Black Acre Brewing Co. .,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1
3,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Barleywine,5.60 %,Heist American Style Red Ale,Heist Brewery,India Pale Ale &#40; IPA &#41;,4.50 %,1
4,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Heist Brewery,Spice/Herb/Vegetable,5 %,1
5,Main Street Amber Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Heist Brewery,India Pale Ale &#40; IPA &#41;,4.50 %,1
6,Red Racer India Style Red Ale,Red Rock Brewing Company,American Barleywine,5.60 %,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1
7,Red Racer India Style Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,5.50 %,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1
8,Clifford 's Big Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1
9,Red Racer India Style Red Ale,The Pike Brewing Company,American Amber / Red Ale,8.20 %,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1
