,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m552pink,94.54,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,digital cameras,kodak,nan,104.95,0
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,digital cameras,kodak,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,nan,104.95,0
2,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,digital cameras,kodak,m552pink,94.54,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,digital cameras,kodak,nan,104.95,0
3,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,electronics - general,kodak,m552pink,94.54,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,digital cameras,kodak,nan,104.95,0
4,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,kodak,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,nan,104.95,0
5,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,digital cameras,kodak,m552pink,88.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,nan,104.95,0
6,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,digital cameras,kodak,nan,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,nan,104.95,0
7,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,ktd-dm8400a / 1g,94.54,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,digital cameras,kodak,nan,104.95,0
8,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,digital cameras,kodak,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,nan,149.29,0
9,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,digital cameras,kodak,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,p-sdhc4g2-ef / purple,104.95,0
