,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,reel deal casino championship edition,phantom efx,59.99,phantom efx reel deal casino shuffle master edition,riverdeep-learning-company,17.24,1
1,reel deal casino championship edition,phantom efx,19.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,riverdeep-learning-company,17.24,1
2,punch ! master landscape & home design,phantom efx,19.99,phantom efx reel deal casino shuffle master edition,nan,17.24,1
3,panda internet security 2007 3-user,microsoft,19.99,phantom efx reel deal casino shuffle master edition,nan,17.24,1
4,microsoft publisher 2007 version upgrade,phantom efx,19.99,phantom efx reel deal casino shuffle master edition,nan,46.95,1
5,punch ! home design architectura series 18,phantom efx,19.99,web easy ( r ) professional 6,nan,17.24,1
6,professional home design suite platinum,phantom efx,79.99,phantom efx reel deal casino shuffle master edition,nan,17.24,1
7,microsoft publisher 2007 version upgrade,phantom efx,19.99,phantom efx reel deal casino shuffle master edition,nan,17.24,1
8,microsoft works suite 2006,phantom efx,19.99,microsoft windows vista home basic upgrade ( pc ),nan,17.24,1
9,apple final cut studio 2 ( mac ),phantom efx,19.99,phantom efx reel deal casino shuffle master edition,nan,17.24,1
