,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,reel deal casino championship edition,phantom efx,19.99,vivendi blizzard world of warcraft,,17.24,"('rtable_title',)",['phantom efx reel deal casino shuffle master edition'],['vivendi blizzard world of warcraft'],0.36526915,0.6347309,2
1,reel deal casino championship edition,phantom efx,19.99,vivendi blizzard world of warcraft,,17.24,"('rtable_title', 'rtable_manufacturer')","['phantom efx reel deal casino shuffle master edition', nan]","['vivendi blizzard world of warcraft', nan]",0.36526915,0.6347309,2
2,reel deal casino championship edition,phantom efx,19.99,vivendi blizzard world of warcraft,,24.99,"('rtable_title', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', 17.24]","['vivendi blizzard world of warcraft', 24.99]",0.38292676,0.61707324,2
4,reel deal casino championship edition,phantom efx,19.99,boohbah zone by brighter minds,,17.24,"('rtable_title',)",['phantom efx reel deal casino shuffle master edition'],['boohbah zone by brighter minds'],0.28533387,0.7146661,2
5,reel deal casino championship edition,phantom efx,19.99,boohbah zone by brighter minds,,17.24,"('rtable_title', 'rtable_manufacturer')","['phantom efx reel deal casino shuffle master edition', nan]","['boohbah zone by brighter minds', nan]",0.2853336,0.71466637,2
6,reel deal casino championship edition,phantom efx,19.99,boohbah zone by brighter minds,,19.99,"('rtable_title', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', 17.24]","['boohbah zone by brighter minds', 19.99]",0.33266193,0.6673381,2
8,reel deal casino championship edition,phantom efx,19.99,net jet game system for pc,,24.99,"('rtable_title', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', 17.24]","['net jet game system for pc', 24.99]",0.45244437,0.5475556,2
3,reel deal casino championship edition,phantom efx,19.99,vivendi blizzard world of warcraft,,24.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', nan, 17.24]","['vivendi blizzard world of warcraft', nan, 24.99]",0.38292676,0.61707324,3
7,reel deal casino championship edition,phantom efx,19.99,boohbah zone by brighter minds,,19.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', nan, 17.24]","['boohbah zone by brighter minds', nan, 19.99]",0.33266193,0.6673381,3
9,reel deal casino championship edition,phantom efx,19.99,net jet game system for pc,,24.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['phantom efx reel deal casino shuffle master edition', nan, 17.24]","['net jet game system for pc', nan, 24.99]",0.45244437,0.5475556,3
