,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft powerpoint 2004 ( mac ),microsoft,99.95,topics entertainment instant immersion ingles audio deluxe,nan,89.99,1
1,steinberg nuendo 3 digital audio software,microsoft,79.95,microsoft money 2007 home and business ( pc ),nan,89.99,1
2,microsoft office & windows training,microsoft,229.99,microsoft money 2007 home and business ( pc ),sibelius-software-ltd .,89.99,1
3,microsoft powerpoint 2004 ( mac ),nolo press,229.99,microsoft money 2007 home and business ( pc ),nan,28.5,1
4,microsoft powerpoint 2004 ( mac ),microsoft,29.95,microsoft money 2007 home and business ( pc ),nan,399.95,1
5,microsoft powerpoint 2004 ( mac ),phantom efx,229.99,microsoft money 2007 home and business ( pc ),nan,1659.99,1
6,adobe photoshop elements 4.0 ( mac ),microsoft,229.99,microsoft money 2007 home and business ( pc ),nan,179.95,1
7,instant immersion ingles audio deluxe,microsoft,999.99,microsoft money 2007 home and business ( pc ),nan,89.99,1
8,microsoft powerpoint 2004 ( mac ),microsoft,229.99,palo alto business plan pro 2007,nan,199.99,1
9,apple final cut studio 2 ( mac ),microsoft,229.99,microsoft money 2007 home and business ( pc ),nan,539.95,1
