,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,sigmod record,2000.0,"s ramaswamy , s mahajan , a silberschatz","lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,nan,0
1,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,sigmod conference,2000.0,"s saltenis , c jensen , s leutenegger",in-network aggregation trade-offs for data collection in wireless sensor networks,proceedings of acm sigmod conference,nan,0
2,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,vldb j.,2000.0,d tsichritzis,"lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,nan,0
3,m franklin,indexing the positions of continuously moving objects,sigmod conference,2000.0,"s saltenis , c jensen , s leutenegger","lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,2003.0,0
4,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,acm trans . database syst .,2000.0,y breitbartâ ? ¦,"lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,nan,0
5,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,sigmod conference,2000.0,"s saltenis , c jensen , s leutenegger","j , hammer , j. widom . view maintenance in a warehousing environment","intelligent data analysis ,",nan,0
6,"l liu , c pu , d buttler , w han , h paques , w tang",indexing the positions of continuously moving objects,sigmod conference,2000.0,"s saltenis , c jensen , s leutenegger","lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,nan,0
7,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,sigmod conference,2000.0,"acms anthology , p edition",beyond market : generalizing association rules to correlations,proceedings of acm sigmod conference,nan,0
8,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,vldb,2000.0,"d beneventano , s bergamaschi , c sartori","lopez. , m. : indexing the position of continuously moving objects",proceedings of acm sigmod conference,nan,0
9,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects,sigmod conference,2000.0,"my kim , j song",editor 's notes,proceedings of acm sigmod conference,nan,0
