,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,uniden 1360bk desktop corded phone with caller id black electronics - general 1360bk,nan,nan,ts-a1674r,90.88,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal da-lite,coaxial speakers,pioneer,nan,46.99,0
1,pioneer 6.5 3-way speakers 300w car stereos pioneer,nan,nan,ts-a1674r,479.98,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,coaxial speakers,pioneer,nan,46.99,0
2,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,nan,nan,87062,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,pioneer,nan,46.99,0
3,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,canon,nan,46.99,0
4,pioneer 6.5 3-way speakers 300w car stereos pioneer,nan,nan,ts-a1674r,17.13,canon 2455b002 imageformula dr-2510c compact color scanner 617.99,coaxial speakers,pioneer,nan,46.99,0
5,iogear gbu421w6 bluetooth usb micro adapter iogear 14.84,nan,nan,99712,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,pioneer,nan,46.99,0
6,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,nan,nan,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,uniden,nan,46.99,0
7,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general,nan,nan,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,pioneer,nan,46.99,0
8,kodak esp 3250 all-in-one printer value bundle,nan,nan,hx-mta64da / g42,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,pioneer,nan,46.99,0
9,pioneer 6.5 3-way speakers 300w car stereos pioneer,nan,nan,ts-a1674r,90.88,evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr,coaxial speakers,antec,nan,46.99,0
