,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,coss : the common object services specifications sigmod conference 1994,nan,nan,nan,the ores temporal database management system,nan,very large data bases,1997.0,0
1,coss : the common object services specifications sigmod conference 1994,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",vldb,1998.0,the ores temporal database management system,nan,nan,1997.0,0
2,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,vldb,nan,"automated selection of materialized views and indexes in sql databases sanjay agrawal , surajit chaudhuri , vivek r. narasayya 2000","man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,0
3,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",nan,nan,nan,"a database system for real-time event aggregation in telecommunication jerry baulier , stephen blott , henry f. korth , abraham silberschatz","thomas seidl , hans-peter kriegel",very large data bases,nan,0
4,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,nan,nan,the ores temporal database management system,"surajit chaudhuri , gautam das , vivek narasayya",very large data bases,nan,0
5,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",nan,nan,nan,"a database system for real-time event aggregation in telecommunication jerry baulier , stephen blott , henry f. korth , abraham silberschatz","thomas seidl , hans-peter kriegel",international conference on management of data,nan,0
6,coss : the common object services specifications sigmod conference 1994,nan,nan,nan,the ores temporal database management system,nan,nan,1997.0,0
7,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",luca cardelli,vldb,2001.0,coss : the common object services specifications bruce e. martin international conference on management of data,nan,international conference on management of data,nan,0
8,coss : the common object services specifications sigmod conference 1994,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",vldb,nan,the ores temporal database management system,nan,nan,1997.0,0
9,coss : the common object services specifications sigmod conference 1994,nan,vldb,nan,the ores temporal database management system,nan,nan,1997.0,0
