,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",2005.0,0
1,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb j.,2002.0,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,1
2,database research at arizona state university,"k ramasamy , j patel , j naughton , r kaushik",vldb,1998.0,"university of illinois , urbana","jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,0
3,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,generalized search trees for database systems,a bestavros,"vldb ,",1992.0,1
4,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2002.0,"data management in ecommerce : the good , the bad , and the ugly","jm hellerstein , jf naughton , a pfeffer",proc . of the acm sigmod intl. conf . on management of,1995.0,1
5,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer",proc . of the acm sigmod intl. conf . on management of,1995.0,1
6,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1992.0,1
7,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,keyword search in databases,"jm hellerstein , jf naughton , a pfeffer","vldb ,",2004.0,0
8,indexing the positions of continuously moving objects,"s manegold , p boncz , m kersten",vldb,2002.0,keyword search in databases,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,0
9,reminiscences on influential papers,"m winslett , k smith , x qian",vldb,1998.0,the o 2 object-oriented database system,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,0
