,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Inception Series - Runnin ' With The Devil,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Ballast Point Brewing Company,Amber Ale,5.50 %,0
1,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Kern River Dirty Hippie Imperial Red Ale,Salty Nut Brewery,Spice/Herb/Vegetable,5.50 %,0
2,Inception Series - Runnin ' With The Devil,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Figure Eight Brewing,Amber Ale,5.50 %,0
3,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Big Time Lift Ticket American Red Ale,Salty Nut Brewery,Barley Wine,5.50 %,0
4,Rocket City Red,Great Storm Brewing Co. .,American Barleywine,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,1
5,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Big Time Lift Ticket American Red Ale,Hollywood Beach Brewing Company,Amber Ale,5.50 %,0
6,Inception Series - Runnin ' With The Devil,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Black Shirt Brewing Company,Amber Ale,5.50 %,0
7,Inception Series - Runnin ' With The Devil,Great Storm Brewing Co. .,American Amber / Red Ale,8.20 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,0
8,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Riverbend Barrel Aged Right Said Red,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.50 %,0
9,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Big Time Lift Ticket American Red Ale,Heist Brewery,Amber Ale,5.50 %,0
