,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,( r ) for mac 2007,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['( r ) for mac 2007', nan]",1,0,0.030303681,0.9696963,2
24,,) for mac 2007,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","[') for mac 2007', nan]",1,0,0.05382057,0.9461794,2
22,,quicken ( r ) for,intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","['quicken ( r ) for', 69.99]",1,0,0.037839953,0.96216005,2
21,,quicken ( r ) for,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['quicken ( r ) for', nan]",1,0,0.03990925,0.9600908,2
19,,for mac 2007,intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","['for mac 2007', 69.99]",1,0,0.032269772,0.9677302,2
18,,for mac 2007,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['for mac 2007', nan]",1,0,0.16657384,0.8334262,2
16,,r ) for mac 2007,intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","['r ) for mac 2007', 69.99]",1,0,0.027351754,0.97264826,2
15,,r ) for mac 2007,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['r ) for mac 2007', nan]",1,0,0.036864985,0.96313494,2
25,,) for mac 2007,intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","[') for mac 2007', 69.99]",1,0,0.023447106,0.9765529,2
12,,quicken ( r ),,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['quicken ( r )', nan]",1,0,0.12611496,0.87388504,2
13,,quicken ( r ),intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","['quicken ( r )', 69.99]",1,0,0.039728627,0.96027136,2
9,,mac 2007,,29.95,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_manufacturer')","['quicken 2007 basic', 'intuit']","['mac 2007', nan]",1,0,0.4707273,0.5292727,2
7,,quicken ( r ) for mac,intuit,69.99,quicken ( r ) for mac 2007,,69.99,"('ltable_title', 'ltable_price')","['quicken 2007 basic', 29.95]","['quicken ( r ) for mac', 69.99]",1,0,0.020703766,0.9792962,2
