,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 1510 e. flamingo rd. ',` san francisco ',38.0,` mandarin court ',212/484 -5113,asian,' 3595 las vegas blvd. s. ',` las vegas ',38.0,` madame ching \ 's ',212-765-1737,indian,1
1,' 3400 las vegas blvd. s ',` las vegas ',84.0,` mandarin court ',702/737 -1234,continental,' 3700 w. flamingo rd. ',` west la ',38.0,` fiore rotisserie & grille ',702-252-7702,` french bistro ',1
2,' 1510 e. flamingo rd. ',` las vegas ',74.0,` mandarin court ',702/737 -1234,mexican,' 243 e. 58th st. ',` san francisco ',664.0,` fiore rotisserie & grille ',213-931-4223,italian,1
3,' 160 e. 64th st. ',atlanta,22.0,` mandarin court ',702/737 -1234,asian,' 3700 w. flamingo rd. ',` las vegas ',22.0,` fiore rotisserie & grille ',702-252-7702,italian,1
4,' 595 piedmont ave. rio shopping mall ',atlanta,83.0,` mandarin court ',702/737 -1234,asian,' 3300 las vegas blvd. s. ',` new york city ',83.0,` madame ching \ 's ',702-252-7702,scandinavian,1
5,' 160 e. 64th st. ',atlanta,22.0,` mandarin court ',702/737 -1234,asian,' 3700 w. flamingo rd. ',` las vegas ',22.0,` dusit thai ',702-252-7702,italian,1
6,' b peachtree rd. ',` las vegas ',84.0,` beesley \ 's of buckhead ',702/737 -1234,californian,' 3700 w. flamingo rd. ',` manhattan beach ',749.0,` fiore rotisserie & grille ',213-857-0034,american,1
7,' 1510 e. flamingo rd. ',` san francisco ',38.0,` mandarin court ',212/484 -5113,asian,' 3595 las vegas blvd. s. ',` las vegas ',38.0,` madame ching \ 's ',702-252-7702,indian,1
8,' 1510 e. flamingo rd. ',` las vegas ',74.0,` mandarin court ',702/737 -1234,mexican,' 243 e. 58th st. ',` san francisco ',664.0,nava,213-931-4223,italian,1
9,' b peachtree rd. ',` las vegas ',84.0,` beesley \ 's of buckhead ',702/737 -1234,californian,' 3700 w. flamingo rd. ',` las vegas ',749.0,` fiore rotisserie & grille ',213-857-0034,american,1
