,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",35.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,0
1,samsung 50 ' widescreen plasma hdtv pn50a650,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,0
2,olympus premium slim leather case in black 202087,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,199.95,0
3,samsung 50 ' widescreen plasma hdtv pn50a650,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",178.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,2294.9,0
4,olympus black 10 megapixels digital camera sp565uz,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,2294.9,0
5,olympus premium slim leather case in black 202087,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,0
6,samsung 50 ' widescreen plasma hdtv pn50a650,sony dscw170 red cyber-shot digital camera dscw170r 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide red finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1889.98,0
7,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,"samsung 50 ' widescreen plasma hdtv pn50a650 touch of color ultra filterbright anti glare technology 1,000,000:1 dynamic contrast ratio picture-in-picture anti-burn-in technology sports/game/movie modes single integrated user interface with wheel-key remote atsc/ntsc/clear qa tuners",69.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,1
8,samsung 50 ' widescreen plasma hdtv pn50a650,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,1699.98,0
9,samsung 50 ' widescreen plasma hdtv pn50a650,canon powershot black 10 megapixel digital camera sx10is 20x optical zoom optical image stabilizer 10.0 megapixel 2.5 ' vari-angle lcd digic 4 image processor face detection self-timer intelligent contrast correction moviesnap mode print/share button black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,106.42,0
