,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,iogear gbu421w6 bluetooth usb micro adapter iogear 14.84,nan,lexmark,nan,248.27,new-analog rca volume leveler - dct6s srs,cables interconnects,oki,nan,nan,1
1,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,nan,lexmark,nan,248.27,iogear bluetooth usb 2.1 micro adapter with tri-language package black computers accessories 15.17,cables interconnects,oki,nan,nan,1
2,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,lexmark,nan,248.27,canon 2455b002 imageformula dr-2510c compact color scanner 617.99,cables interconnects,oki,nan,nan,1
3,lexmark e450h11a toner 11000 page-yield black printers e450h11a,mp3 accessories,lexmark,nan,248.27,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,cables interconnects,oki,nan,nan,1
4,balt wheasel easel adjustable melamine dry erase board white stationery & office machinery,nan,lexmark,nan,248.27,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,cables interconnects,oki,nan,nan,1
5,lexmark e450h11a toner 11000 page-yield black printers e450h11a,nan,lexmark,nan,248.27,da-glas base rear projection screen - 70 x 70 av format da-lite,cables interconnects,oki,nan,16.87,1
6,lexmark e450h11a toner 11000 page-yield black printers e450h11a,nan,uniden,nan,248.27,da-glas base rear projection screen - 70 x 70 av format da-lite,cables interconnects,oki,nan,nan,1
7,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g electronics - general apc be750g 95.88,nan,lexmark,nan,248.27,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,cables interconnects,oki,nan,nan,1
8,lexmark e450h11a toner 11000 page-yield black printers e450h11a,tv accessories,lexmark,nan,248.27,da-glas base rear projection screen - 70 x 70 av format da-lite,cables interconnects,oki,nan,nan,1
9,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,nan,lexmark,nan,248.27,new-analog rca volume leveler - dct6s srs,cables interconnects,oki,nan,nan,1
