,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Barleywine,11.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,1
1,Honey Basil Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,1
2,Red Hopper ( Imperial Red Ale ),Green Flash Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,9.70 %,1
3,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,10.00 %,Heavy Seas Desert Island Series American Honey Amber Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,0
4,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Bainbridge Island Brewing Company,American Strong Ale,8.79 %,1
5,Red Hopper ( Imperial Red Ale ),Capitol City Brewing,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Kern River Brewing,American Strong Ale,8.79 %,1
6,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,5 %,1
7,Red Hopper ( Imperial Red Ale ),Great Storm Brewing Co. .,American Amber / Red Ale,6.20 %,Hollywood Beach Red Tide Amber Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,1
8,Hop Around Imperial Red Ale,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,1
9,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,5.40 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,10.30 %,1
