,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,American Strong Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt']",1,0,0.2069462,0.79305375,2
14,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial,Brannon_s Pub and Brewery,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', '8.79 %']","['Smuttynose Kindest Find Imperial', '8.50 %']",1,0,0.44242123,0.55757874,2
13,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial,Smuttynose Brewing Company,American Strong Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery']","['Smuttynose Kindest Find Imperial', 'Smuttynose Brewing Company']",1,0,0.2979763,0.70202374,2
12,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('rtable_Beer_Name',)",['Brannon_s Deputation Imperial Red Ale'],['Smuttynose Kindest Find Imperial'],1,0,0.44504082,0.5549591,2
9,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find,Brannon_s Pub and Brewery,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', '8.79 %']","['Smuttynose Kindest Find', '8.50 %']",1,0,0.4573887,0.5426113,2
16,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial Red,Smuttynose Brewing Company,American Strong Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery']","['Smuttynose Kindest Find Imperial Red', 'Smuttynose Brewing Company']",1,0,0.4633772,0.53662276,2
7,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('rtable_Beer_Name',)",['Brannon_s Deputation Imperial Red Ale'],['Smuttynose Kindest Find'],1,0,0.41705203,0.5829479,2
8,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find,Smuttynose Brewing Company,American Strong Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery']","['Smuttynose Kindest Find', 'Smuttynose Brewing Company']",1,0,0.23291457,0.7670854,2
3,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,American Strong Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt']",1,0,0.2069462,0.79305375,2
5,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,American Strong Ale,6.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt', '6.50 %']",1,0,0.18722138,0.81277865,3
4,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,Amber Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', 'American Strong Ale']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt', 'Amber Ale']",1,0,0.13998938,0.8600106,3
10,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find,Smuttynose Brewing Company,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Smuttynose Kindest Find', 'Smuttynose Brewing Company', '8.50 %']",1,0,0.21678507,0.7832149,3
2,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,American Strong Ale,6.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt', '6.50 %']",1,0,0.18722138,0.81277865,3
1,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,Amber Ale,8.79 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', 'American Strong Ale']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt', 'Amber Ale']",1,0,0.13998938,0.8600106,3
15,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial,Smuttynose Brewing Company,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Smuttynose Kindest Find Imperial', 'Smuttynose Brewing Company', '8.50 %']",1,0,0.25181517,0.74818486,3
6,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest,Smuttynose Brewing Company,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Smuttynose Kindest', 'Smuttynose Brewing Company', '8.50 %']",1,0,0.33832958,0.6616704,3
17,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find Imperial Red,Smuttynose Brewing Company,American Strong Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', '8.79 %']","['Smuttynose Kindest Find Imperial Red', 'Smuttynose Brewing Company', '8.50 %']",1,0,0.2935642,0.7064358,3
11,,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Smuttynose Kindest Find,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['Brannon_s Deputation Imperial Red Ale', 'Brannon_s Pub and Brewery', 'American Strong Ale', '8.79 %']","['Smuttynose Kindest Find', 'Smuttynose Brewing Company', 'American Amber / Red Ale', '8.50 %']",1,0,0.4814292,0.5185708,4
