,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft office 2004 professional ( mac ),topics entertainment,499.99,diskeeper 2007 professional,nan,82.99,1
1,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft microsoft office 2004 software suite mac apple & mac software,nan,69.99,1
2,microsoft office & windows training,microsoft,999.0,diskeeper 2007 professional,nan,46.95,1
3,microsoft office 2004 professional ( mac ),macsoft,59.99,diskeeper 2007 professional,nan,46.95,1
4,microsoft office 2004 professional ( mac ),punch ! software,499.99,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,46.95,1
5,microsoft office 2004 professional ( mac ),microsoft,59.99,diskeeper 2007 professional,riverdeep-learning-company,46.95,1
6,microsoft office 2004 professional ( mac ),microsoft,259.95,diskeeper 2007 professional,nan,17.24,1
7,mac os x server v10 .4.7 unlimited client,microsoft,499.99,diskeeper 2007 professional,nan,36.11,1
8,microsoft office frontpage 2003 academic version windows ),microsoft,499.99,diskeeper 2007 professional,nan,46.95,1
9,microsoft visio standard 2007,microsoft,499.99,adobe contribute cs3 upgrade,nan,46.95,1
