,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las,` las vegas ',702/734 -0410,buffets,664,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 'continental']","[""` circus circus '"", ""' 2880 las"", '702/734 -0410', 'buffets']",1,0,0.47517866,0.52482134,4
17,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` michael \ 's ( las vegas ) ',' 2880 las vegas blvd.,` las vegas ',702/734 -0410,continental,437,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_class')","[""' 3595 las vegas blvd. s. '"", ""` las vegas '"", '702-737-7111', 664]","[""' 2880 las vegas blvd."", ""` las vegas '"", '702/734 -0410', 437]",1,0,0.47417694,0.52582306,4
16,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las vegas blvd.,` las vegas ',702/734 -0410,continental,437,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 664]","[""` circus circus '"", ""' 2880 las vegas blvd."", '702/734 -0410', 437]",1,0,0.16316551,0.8368345,4
10,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` michael \ 's ( las vegas ) ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,continental,437,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_class')","[""' 3595 las vegas blvd. s. '"", ""` las vegas '"", '702-737-7111', 664]","[""' 2880 las vegas blvd. s '"", ""` las vegas '"", '702/734 -0410', 437]",1,0,0.4060389,0.5939611,4
9,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus,' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,continental,437,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 664]","['` circus circus', ""' 2880 las vegas blvd. s '"", '702/734 -0410', 437]",1,0,0.23263122,0.76736873,4
11,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` michael \ 's ( las vegas ) ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,"('rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""' 3595 las vegas blvd. s. '"", '702-737-7111', 'continental', 664]","[""' 2880 las vegas blvd. s '"", '702/734 -0410', 'buffets', 437]",1,0,0.27874312,0.72125685,4
1,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las,` las vegas ',702/734 -0410,continental,437,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 664]","[""` circus circus '"", ""' 2880 las"", '702/734 -0410', 437]",1,0,0.34725308,0.6527469,4
2,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` michael \ 's ( las vegas ) ',' 2880 las,` las vegas ',702/734 -0410,buffets,437,"('rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""' 3595 las vegas blvd. s. '"", '702-737-7111', 'continental', 664]","[""' 2880 las"", '702/734 -0410', 'buffets', 437]",1,0,0.40412256,0.59587747,4
6,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 3595 las vegas blvd. s. ',` las vegas ',702/734 -0410,buffets,437,"('rtable_name', 'rtable_city', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""` las vegas '"", '702-737-7111', 'continental', 664]","[""` circus circus '"", ""` las vegas '"", '702/734 -0410', 'buffets', 437]",1,0,0.46617502,0.533825,5
21,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 3595 las vegas blvd. s. ',` las vegas ',702/734 -0410,buffets,437,"('rtable_name', 'rtable_city', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""` las vegas '"", '702-737-7111', 'continental', 664]","[""` circus circus '"", ""` las vegas '"", '702/734 -0410', 'buffets', 437]",1,0,0.46617502,0.533825,5
20,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las vegas blvd.,` las vegas ',702/734 -0410,buffets,437,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 'continental', 664]","[""` circus circus '"", ""' 2880 las vegas blvd."", '702/734 -0410', 'buffets', 437]",1,0,0.13166387,0.86833614,5
19,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las vegas blvd.,` las vegas ',702/734 -0410,continental,437,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", ""` las vegas '"", '702-737-7111', 664]","[""` circus circus '"", ""' 2880 las vegas blvd."", ""` las vegas '"", '702/734 -0410', 437]",1,0,0.27401072,0.7259893,5
18,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las vegas blvd.,` las vegas ',702/734 -0410,buffets,664,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_res_type')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", ""` las vegas '"", '702-737-7111', 'continental']","[""` circus circus '"", ""' 2880 las vegas blvd."", ""` las vegas '"", '702/734 -0410', 'buffets']",1,0,0.3751335,0.6248665,5
5,,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 2880 las,` las vegas ',702/734 -0410,buffets,437,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` michael \\ 's ( las vegas ) '"", ""' 3595 las vegas blvd. s. '"", '702-737-7111', 'continental', 664]","[""` circus circus '"", ""' 2880 las"", '702/734 -0410', 'buffets', 437]",1,0,0.12975028,0.87024975,5
