,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,match,label
0,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,831,individual software professor teaches microsoft office 2007,,29.99,0.003728598,0
1,559,adobe dreamweaver cs3 [ mac ],adobe,399.0,324,adobe cs3 web premium,,1659.99,0.0034639565,0
2,558,instant immersion spanish 2.0,topics entertainment,29.99,3023,instant immers japanese dlx 2 .,,36.11,0.0035555405,0
3,762,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,1618,ghost recon gold edition ( dvd-rom ),,20.95,0.0037105053,0
4,1262,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,2860,adobe illustrator cs3 ( mac ),,599.0,0.003835385,0
5,971,instant immersion ingles audio deluxe,topics entertainment,,2804,instant immersion spanish deluxe 2.0 topics,,39.99,0.0034024233,0
6,654,acrobat professional 8 ( windows ),adobe,273.0,1183,web easy ( r ) professional 6,,49.99,0.0036827424,0
7,423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,2847,microsoft office visio standard 2007 ( pc ),,249.95,0.004632602,0
8,858,microsoft onenote 2007 upgrade,microsoft,79.95,1805,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,0.004052436,0
9,722,steinberg nuendo 3 digital audio software,steinberg,2499.0,2331,steinberg wavelab studio 6 audio editing software educational discount music production software,,149.95,0.0036896158,0
10,1198,quickbooks point-of-sale basic 6.0,intuit,799.95,3033,quickbooks pro 2007 3 user,,409.52,0.00355945,0
11,522,microsoft visio standard 2007,microsoft,259.95,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,0.0048167966,0
12,561,quicken 2007 basic,intuit,29.95,1136,quicken ( r ) for mac 2007,,69.99,0.004218021,0
13,606,microsoft office 2004 professional ( mac ),microsoft,499.99,2867,microsoft onenote 2007 ( pc ),,99.95,0.003399291,0
14,1170,steinberg cubase 4 digital audio software,steinberg,999.99,861,migo software digital file shredder 2005,,24.58,0.0039925138,0
15,614,microsoft works suite 2006,microsoft,99.0,945,microsoft office 2004 student/teacher,,145.99,0.00440766,0
16,1241,quicken legal business pro 2007,nolo press,79.99,3145,palo alto business plan pro 2007,,83.99,0.005320905,0
17,1111,apple final cut studio 2 ( mac ),apple,1299.0,2755,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,0.0052784183,0
18,270,adobe acrobat 7.0 professional,adobe,449.99,2177,adobe after effects professional 7.0 software effects software,,998.95,0.004369033,0
19,225,microsoft powerpoint 2004 ( mac ),microsoft,229.99,2837,microsoft money 2007 home and business ( pc ),,89.99,0.004022778,0
20,597,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,242,adobe cs3 design standard academic,,385.99,0.0035836638,0
21,661,adobe cs3 design standard macosx dvd,adobe,399.0,946,adobe cs3 design standard upgrade,,413.99,0.0064481203,0
22,705,professional home design suite platinum,punch ! software,99.95,2054,scrapbook designer platinum,riverdeep-learning-company,17.9,0.0033927904,0
23,606,microsoft office 2004 professional ( mac ),microsoft,499.99,1485,diskeeper 2007 professional,,46.95,0.0037977523,0
