,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,nan,nan,nan,nan,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black resl422b-f 125.99,nan,avf,nan,nan,1
1,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,nan,24.94,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b arrowmounts,tv mounts,avf,nan,nan,1
2,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,nan,94.54,new-analog rca volume leveler - dct6s srs,tv mounts,avf,nan,nan,1
3,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,nan,239.88,accell ultraav b101b-003b display port with vga active adapter accell b101b-003b 24.99,tv mounts,avf,nan,nan,1
4,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,nan,nan,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b arrowmounts,tv mounts,avf,nan,134.45,1
5,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,paper mate,nan,nan,accell ultraav b101b-003b display port with vga active adapter accell b101b-003b 24.99,tv mounts,avf,nan,nan,1
6,da-lite da-glas self trimming rear projection screen - 96 x 120 av format 27915,nan,nan,fva2773,nan,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black resl422b-f 125.99,tv mounts,avf,nan,nan,1
7,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,da-lite,nan,nan,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black iomega 35106 94.49,tv mounts,avf,nan,nan,1
8,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,gb01959,nan,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,tv mounts,avf,nan,nan,1
9,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,nan,nan,nan,nan,birdhouse tony hawk 16gb ptero skatedrive usb flash drive action,tv mounts,canon,nan,nan,1
