,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Red Tao,Great Storm Brewing Co. .,American Amber / Red Ale,5.50 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Red Tao', '5.50 %']",0.44802558422088623,0.5519744157791138,2
140,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Birrart Mos_ka Torrada,Salty Nut Brewery,Amber Ale,5.50 %,"('rtable_Beer_Name',)",['Salty Nut Bee Transfixed Honey Amber Ale'],['Birrart Mos_ka Torrada'],0.4582396149635315,0.5417603850364685,2
141,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Birrart Mos_ka Torrada,Cerveceria Birrart,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Salty Nut Bee Transfixed Honey Amber Ale', 'Salty Nut Brewery']","['Birrart Mos_ka Torrada', 'Cerveceria Birrart']",0.42381054162979126,0.5761894583702087,2
142,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Birrart Mos_ka Torrada,Salty Nut Brewery,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Style')","['Salty Nut Bee Transfixed Honey Amber Ale', 'Amber Ale']","['Birrart Mos_ka Torrada', 'Amber Ale']",0.4582396149635315,0.5417603850364685,2
143,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Birrart Mos_ka Torrada,Salty Nut Brewery,Amber Ale,6 %,"('rtable_Beer_Name', 'rtable_ABV')","['Salty Nut Bee Transfixed Honey Amber Ale', '5.50 %']","['Birrart Mos_ka Torrada', '6 %']",0.4632118344306946,0.5367881655693054,2
343,Driftwood,Great Storm Brewing Co. .,American Amber / Red Ale,-,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Driftwood', '-']",0.46132367849349976,0.5386763215065002,2
342,Driftwood,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_Style')","['Brass Ale Honey Amber', 'American Amber / Red Ale']","['Driftwood', 'American Amber / Red Ale']",0.47881531715393066,0.5211846828460693,2
341,Driftwood,Island Hoppin ' Brewery,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Brass Ale Honey Amber', 'Great Storm Brewing Co. .']","['Driftwood', ""Island Hoppin ' Brewery""]",0.45855826139450073,0.5414417386054993,2
340,Driftwood,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name',)",['Brass Ale Honey Amber'],['Driftwood'],0.47881531715393066,0.5211846828460693,2
148,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Lovibonds Henley Amber,Lovibonds,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Salty Nut Bee Transfixed Honey Amber Ale', 'Salty Nut Brewery']","['Lovibonds Henley Amber', 'Lovibonds']",0.4671750068664551,0.5328249931335449,2
152,Velveteen,Great Storm Brewing Co. .,American Amber / Red Ale,5.25 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Velveteen', '5.25 %']",0.4904024004936218,0.5095975995063782,2
335,Lamarieuse,Great Storm Brewing Co. .,American Amber / Red Ale,5.40 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Lamarieuse', '5.40 %']",0.4257465600967407,0.5742534399032593,2
334,Lamarieuse,Brasserie du Roulier,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Brass Ale Honey Amber', 'Great Storm Brewing Co. .']","['Lamarieuse', 'Brasserie du Roulier']",0.4585109353065491,0.5414890646934509,2
156,Brutopian Valhalla,Great Storm Brewing Co. .,American Amber / Red Ale,5.50 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Brutopian Valhalla', '5.50 %']",0.34358519315719604,0.656414806842804,2
332,Ambree,Le Cheval Blanc,American Amber / Red Ale,5.30 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Brass Ale Honey Amber', 'Great Storm Brewing Co. .']","['Ambree', 'Le Cheval Blanc']",0.4749811887741089,0.5250188112258911,2
160,BeWildeRed,Great Storm Brewing Co. .,American Amber / Red Ale,4.80 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['BeWildeRed', '4.80 %']",0.4935934543609619,0.5064065456390381,2
328,Ole Prospector,Great Storm Brewing Co. .,American Amber / Red Ale,5.50 %,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Brass Ale Honey Amber', '5.30 %']","['Ole Prospector', '5.50 %']",0.4081716537475586,0.5918283462524414,2
326,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Sixpoint Global Warmer,Sixpoint Brewery,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Salty Nut Bee Transfixed Honey Amber Ale', 'Salty Nut Brewery']","['Sixpoint Global Warmer', 'Sixpoint Brewery']",0.4856102466583252,0.5143897533416748,2
164,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,Tri Martolod Rousse,Tri Martolod,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Salty Nut Bee Transfixed Honey Amber Ale', 'Salty Nut Brewery']","['Tri Martolod Rousse', 'Tri Martolod']",0.4851644039154053,0.5148355960845947,2
