,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,6.40 %,Legends Of The Bay Giant 's Tomb,Funky Buddha Brewery,American Amber / Red Ale,5.50 %,Thomas Hooker Old Marley Barleywine,Thorn Street Brewery,Amber Ale,0
1,5.30 %,Rocket City Red,Cambridge Brewing Company,American Amber / Red Ale,5.80 %,Bainbridge Island Arrow Point Amber,Salty Nut Brewery,Barley Wine,1
2,11.50 %,Legends Of The Bay Giant 's Tomb,Great Storm Brewing Co. .,American Amber / Red Ale,5.50 %,Hillcrest Big Red Balls,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,1
3,11.50 %,Legends Of The Bay Giant 's Tomb,Edge Brewing Company,American Amber / Red Ale,5.50 %,Hillcrest Big Red Balls,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,1
4,11.00 %,Bushfire American Red,Hillcrest Brewing Company,American Amber / Red Ale,6.50 %,Thomas Hooker Old Marley Barleywine,Salty Nut Brewery,Fruit Beer,1
5,5.30 %,Bushfire American Red,Thomas Hooker Brewing Company,American Barleywine,5 %,Thomas Hooker Old Marley Barleywine,Kettle House Brewing Company,California Common,0
6,11.50 %,Legends Of The Bay Giant 's Tomb,Edge Brewing Company,American Amber / Red Ale,5.40 %,Hillcrest Big Red Balls,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,1
7,5.30 %,Brass Ale Honey Amber,Fifty West Brewing Co,American Amber / Red Ale,5.30 %,Bainbridge Island Arrow Point Amber,Salty Nut Brewery,Amber Ale,1
8,5.30 %,Rocket City Red,Great Storm Brewing Co. .,American Amber / Red Ale,5.80 %,Bainbridge Island Arrow Point Amber,Salty Nut Brewery,Amber Ale,1
9,5.50 %,Brass Ale Honey Amber,Nebraska Brewing Company,American Barleywine,5.50 %,Deschutes Green Lakes Non-Organic Ale,Alley Kat Brewing Company,Amber Ale,0
