,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,instant immersion 33 languages,topics entertainment,24.99,instant immersion spanish deluxe 2.0 topics,nan,47.36,1
1,microsoft onenote 2007 upgrade,topics entertainment,49.99,phantom efx reel deal casino shuffle master edition,nan,47.36,1
2,acrobat professional 8 ( windows ),topics entertainment,799.95,instant immersion 33 languages,nan,47.36,1
3,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,nan,99.99,1
4,adobe acrobat 7.0 professional,topics entertainment,49.99,instant immersion 33 languages,nan,47.36,1
5,microsoft licenses word olp c ( 05903871 ),topics entertainment,49.99,instant immersion 33 languages,nan,24.58,1
6,microsoft visio standard 2007,macsoft,49.99,instant immersion 33 languages,nan,47.36,1
7,instant immersion 33 languages,nolo press,549.0,instant immersion 33 languages,nan,47.36,1
8,instant immersion 33 languages,topics entertainment,49.99,punch software 20100 punch ! 5 in 1 home design,sibelius-software-ltd .,47.36,1
9,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,riverdeep-learning-company,149.95,1
