,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,instant immersion 33 languages,onone software,49.99,instant immersion 33 languages,,47.36,"('ltable_manufacturer',)",['topics entertainment'],['onone software'],0.064591475,0.93540853,2
20,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,7.99,"('rtable_price',)",[47.36],[7.99],0.03113251,0.96886754,2
21,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,7.99,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 7.99]",0.03113251,0.96886754,2
22,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
23,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,7.99,"('rtable_price',)",[47.36],[7.99],0.03113251,0.96886754,2
24,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,7.99,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 7.99]",0.03113251,0.96886754,2
25,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
26,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,82.99,"('rtable_price',)",[47.36],[82.99],0.03338177,0.96661824,2
27,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,82.99,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 82.99]",0.03338177,0.96661824,2
28,instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_title',)",['instant immersion 33 languages'],['instant immersion translator deluxe 2.0'],0.03628126,0.9637188,2
29,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_manufacturer',)",['topics entertainment'],['topics entertainment'],0.041540135,0.9584598,2
30,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_price',)",[49.99],[49.99],0.041540135,0.9584598,2
31,instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_title', 'ltable_manufacturer')","['instant immersion 33 languages', 'topics entertainment']","['instant immersion translator deluxe 2.0', 'topics entertainment']",0.03628126,0.9637188,2
32,instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_title', 'ltable_price')","['instant immersion 33 languages', 49.99]","['instant immersion translator deluxe 2.0', 49.99]",0.03628126,0.9637188,2
33,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('ltable_manufacturer', 'ltable_price')","['topics entertainment', 49.99]","['topics entertainment', 49.99]",0.041540135,0.9584598,2
35,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540127,0.9584599,2
19,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
36,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,20.0,"('rtable_price',)",[47.36],[20.0],0.013327982,0.98667204,2
18,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,14.9,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 14.9]",0.014149494,0.9858505,2
16,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
1,instant immersion 33 languages,topics entertainment,,instant immersion 33 languages,,47.36,"('ltable_price',)",[49.99],[nan],0.024764718,0.9752353,2
2,instant immersion 33 languages,onone software,,instant immersion 33 languages,,47.36,"('ltable_manufacturer', 'ltable_price')","['topics entertainment', 49.99]","['onone software', nan]",0.035057005,0.96494293,2
3,instant immersion 33 languages,topics entertainment,49.99,instant immersion italian 2.0,,47.36,"('rtable_title',)",['instant immersion 33 languages'],['instant immersion italian 2.0'],0.30901232,0.6909877,2
4,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,topics entertainment,47.36,"('rtable_manufacturer',)",[nan],['topics entertainment'],0.011288457,0.9887115,2
5,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,20.99,"('rtable_price',)",[47.36],[20.99],0.039328143,0.9606719,2
6,instant immersion 33 languages,topics entertainment,49.99,instant immersion italian 2.0,topics entertainment,47.36,"('rtable_title', 'rtable_manufacturer')","['instant immersion 33 languages', nan]","['instant immersion italian 2.0', 'topics entertainment']",0.098495655,0.90150434,2
17,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,14.9,"('rtable_price',)",[47.36],[14.9],0.014149494,0.9858505,2
7,instant immersion 33 languages,topics entertainment,49.99,instant immersion italian 2.0,,20.99,"('rtable_title', 'rtable_price')","['instant immersion 33 languages', 47.36]","['instant immersion italian 2.0', 20.99]",0.0918695,0.90813047,2
10,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
11,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,12.9,"('rtable_price',)",[47.36],[12.9],0.013982007,0.98601794,2
12,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,12.9,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 12.9]",0.013982007,0.98601794,2
13,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,47.36,"('rtable_manufacturer',)",[nan],[nan],0.041540135,0.9584598,2
14,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,12.9,"('rtable_price',)",[47.36],[12.9],0.013982007,0.98601794,2
15,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,,12.9,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","[nan, 12.9]",0.013982007,0.98601794,2
8,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,topics entertainment,20.99,"('rtable_manufacturer', 'rtable_price')","[nan, 47.36]","['topics entertainment', 20.99]",0.0061724777,0.9938275,2
