,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Beryl_s Firecatcher,Lavery Brewing Company,American Strong Ale,7.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Beryl_s Firecatcher', '7.50 %']",0.4520043134689331,0.5479956865310669,2
100,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,3Cross Kannibaal,Lavery Brewing Company,American Strong Ale,7.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['3Cross Kannibaal', '7.50 %']",0.41146427392959595,0.588535726070404,2
24,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,3Cross Kannibaal,Lavery Brewing Company,American Strong Ale,7.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['3Cross Kannibaal', '7.50 %']",0.41146427392959595,0.588535726070404,2
134,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Sarungano Gudo,Lavery Brewing Company,American Strong Ale,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Sarungano Gudo', '5.50 %']",0.44552069902420044,0.5544793009757996,2
90,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Osgood Oakestown,Lavery Brewing Company,American Strong Ale,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Osgood Oakestown', '5.50 %']",0.4506668448448181,0.5493331551551819,2
151,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Creature Comforts Tritonia,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Creature Comforts Tritonia', '4.50 %']",0.42445045709609985,0.5755495429039001,2
38,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Legenda Pony,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Legenda Pony', '4.50 %']",0.38551008701324463,0.6144899129867554,2
42,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Havannah,Lavery Brewing Company,Amber Ale,8.20 %,"('rtable_Beer_Name', 'rtable_Style')","['Lavery Imperial Red Ale &#40; IRA &#41;', 'American Strong Ale']","['Havannah', 'Amber Ale']",0.4361509680747986,0.5638490319252014,2
130,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Leisure Amber,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Leisure Amber', '4.50 %']",0.45079243183135986,0.5492075681686401,2
138,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Bunpat Rossa,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Bunpat Rossa', '4.50 %']",0.32622599601745605,0.673774003982544,2
50,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Leisure Amber,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Leisure Amber', '4.50 %']",0.45079243183135986,0.5492075681686401,2
76,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Beryl_s Firecatcher,Lavery Brewing Company,American Strong Ale,7.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Beryl_s Firecatcher', '7.50 %']",0.4520043730735779,0.5479956269264221,2
147,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,FiftyFifty Annularity,Lavery Brewing Company,American Strong Ale,7.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['FiftyFifty Annularity', '7.50 %']",0.4339573383331299,0.5660426616668701,2
54,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Sarungano Gudo,Lavery Brewing Company,American Strong Ale,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Sarungano Gudo', '5.50 %']",0.44552069902420044,0.5544793009757996,2
58,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Bunpat Rossa,Lavery Brewing Company,American Strong Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lavery Imperial Red Ale &#40; IRA &#41;', '8.20 %']","['Bunpat Rossa', '4.50 %']",0.32622599601745605,0.673774003982544,2
122,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Havannah,Lavery Brewing Company,Amber Ale,8.20 %,"('rtable_Beer_Name', 'rtable_Style')","['Lavery Imperial Red Ale &#40; IRA &#41;', 'American Strong Ale']","['Havannah', 'Amber Ale']",0.4361509680747986,0.5638490319252014,2
