,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,-,Big Red Balls,Howe Sound Inn & Brewing Company,American Amber / Red Ale,11.20 %,Legends of the Bay Giant_s Tomb,Fin City Brewing Company,American Strong Ale,0
1,4.00 %,Jazz Beer Tarraco Amber,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,-,Legends of the Bay Giant_s Tomb,Lavery Brewing Company,American Strong Ale,0
2,7.50 %,Honey Basil Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Lavery Brewing Company,American Strong Ale,0
3,9.00 %,Arrow Point Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,8.20 %,Legends of the Bay Giant_s Tomb,Lavery Brewing Company,American Strong Ale,1
4,-,Big Red Balls,Howe Sound Inn & Brewing Company,American Amber / Red Ale,11.20 %,Legends of the Bay Giant_s Tomb,Lavery Brewing Company,American Strong Ale,0
5,5.60 %,Honey Basil Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Lavery Brewing Company,Specialty Grain,0
6,7.50 %,Honey Basil Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Lavery Brewing Company,Specialty Grain,0
7,7.50 %,Easy Amber Ale,Thomas Hooker Brewing Company,American Amber / Red Ale,10.30 %,Legends of the Bay Giant_s Tomb,Willoughby Brewing Co. .,Barley Wine,0
8,7.50 %,Lower De Boom Barleywine,Revival Brewing Co. .,American Amber / Red Ale,8.20 %,Legends of the Bay Giant_s Tomb,Lavery Brewing Company,Irish Ale,0
9,7.50 %,Lower De Boom Barleywine,Howe Sound Inn & Brewing Company,American Amber / Red Ale,8.20 %,Legends of the Bay Giant_s Tomb,Lavery Brewing Company,Irish Ale,0
