,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,229.95,microsoft office excel 2007,global-software-publishing,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
1,me-too-software,229.95,microsoft office excel 2007,riverdeep-learning-company,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
2,sony-pictures-digital-entertainment,229.95,microsoft office excel 2007,global-software-publishing,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
3,global-software-publishing,229.95,microsoft office excel 2007,sibelius-software-ltd .,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
4,global-software-publishing,229.95,punch 5 in 1 home design,global-software-publishing,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
5,apple,229.95,microsoft office excel 2007,apple software,399.95,microsoft ( r ) money 2007 premium,1
6,global-software-publishing,229.95,sony acid pro 6 professional music workstation,riverdeep-learning-company,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
7,global-software-publishing,229.95,panda internet security 2007 3-user,sibelius-software-ltd .,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
8,macsoft,199.99,microsoft office excel 2007,nan,199.99,microsoft microsoft office 2004 software suite mac apple & mac software,1
9,sony-pictures-digital-entertainment,229.95,adobe dreamweaver cs3 [ mac ],global-software-publishing,399.95,microsoft microsoft office 2004 software suite mac apple & mac software,1
