,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` mambo restaurante cubano ',' 1510 e. flamingo rd. ',atlanta,404/874 -2626,caribbean,72.0,felidia,' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599.0,0
1,` mambo restaurante cubano ',' 160 central park s ',atlanta,404/874 -2626,caribbean,406.0,` heera of india ',' 1305 highland ave. ',` manhattan beach ',404-261-8186,diners,599.0,0
2,` mambo restaurante cubano ',' 1402 n. highland ave. ',` new york ',404/874 -2626,caribbean,128.0,citrus,' 1305 highland ave. ',venice,310-545-5177,diners,599.0,0
3,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,415/861 -6224,caribbean,406.0,abruzzi,' 2355 peachtree rd. ne ',` manhattan beach ',310-545-5177,diners,599.0,0
4,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,406.0,abruzzi,' 2355 peachtree rd. ne ',` manhattan beach ',818-585-0855,` pacific new wave ',599.0,1
5,` mambo restaurante cubano ',' 160 central park s ',atlanta,404/874 -2626,caribbean,406.0,` heera of india ',' 1305 highland ave. ',` manhattan beach ',404-261-8186,diners,90.0,0
6,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,325.0,` fiore rotisserie & grille ',' 1305 highland ave. ',` santa monica ',718-672-1232,diners,599.0,0
7,` mambo restaurante cubano ',' 1915 fillmore st. ',atlanta,404/874 -2626,caribbean,406.0,abruzzi,' 1305 highland ave. ',` new york city ',310-545-5177,diners,599.0,1
8,manora,' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,406.0,` dusit thai ',' 3434 peachtree rd. ne ',atlanta,310-545-5177,diners,599.0,0
9,manora,' 3434 peachtree rd. ',atlanta,404/874 -2626,caribbean,406.0,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599.0,0
