,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 2880 las vegas blvd. s ',` los angeles ',144.0,` circus circus ',702/734 -0410,buffets,' 3500 las vegas blvd. s. ',` las vegas ',74.0,` spago ( las vegas ) ',702-369-6300,californian,1
1,' 205 e. 45th st. ',` los angeles ',144.0,` circus circus ',702/734 -0410,buffets,' 3500 las vegas blvd. s. ',` las vegas ',74.0,` spago ( las vegas ) ',702-369-6300,californian,1
2,' 2880 las vegas blvd. s ',` las vegas ',82.0,` circus circus ',702/734 -0410,buffets,'13 w. 54th st. ',` las vegas ',682.0,` spago ( las vegas ) ',702-369-6300,american,1
3,' 205 e. 45th st. ',` los angeles ',144.0,` circus circus ',702/734 -0410,` coffee shops/diners ',' 3500 las vegas blvd. s. ',` las vegas ',74.0,` spago ( las vegas ) ',702-369-6300,californian,1
4,' 2880 las vegas blvd. s ',` new york ',84.0,` circus circus ',702/734 -0410,continental,' 3500 las vegas blvd. s. ',` las vegas ',749.0,` spago ( las vegas ) ',404-233-7673,californian,1
5,' 2880 las vegas blvd. s ',` las vegas ',82.0,` circus circus ',702/734 -0410,buffets,'13 w. 54th st. ',` las vegas ',682.0,abruzzi,702-369-6300,american,1
6,' 2880 las vegas blvd. s ',` las vegas ',84.0,` circus circus ',702/734 -0410,buffets,' 490 e. paces ferry rd. ne ',queens,90.0,` spago ( las vegas ) ',702-369-6300,` american ( new ) ',1
7,' 3799 las vegas blvd. s ',` las vegas ',6.0,` circus circus ',702/734 -0410,buffets,' 3500 las vegas blvd. s. ',atlanta,5.0,` spago ( las vegas ) ',702-369-6300,` pacific new wave ',1
8,' 8783 beverly blvd. ',` las vegas ',22.0,` circus circus ',702/734 -0410,buffets,' 490 e. paces ferry rd. ne ',` las vegas ',616.0,` spago ( las vegas ) ',702-893-0703,californian,1
9,' 2355 peachtree rd. . peachtree battle shopping center ',` las vegas ',50.0,` le colonial ',702/734 -0410,buffets,' 10801 w. pico blvd. ',` las vegas ',7.0,` spago ( las vegas ) ',702-369-6300,californian,1
