,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,7.50 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Premium Bitter/ESB,-,0
1,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Sick N Twisted Pleasure Victim Amber Ale,23rd Street Brewery,Spice/Herb/Vegetable,-,0
2,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Big Time Lift Ticket American Red Ale,23rd Street Brewery,Specialty Grain,-,0
3,Tongue Buckler ( Bourbon Barrel Aged ),Alexander Keith 's,American Amber / Red Ale,10.00 %,Kern River Dirty Hippie Imperial Red Ale,23rd Street Brewery,Specialty Grain,-,0
4,Inception Series - Runnin ' With The Devil,Granite Falls Brewing Co. .,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,0
5,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,6.50 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Premium Bitter/ESB,-,0
6,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,7.40 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Premium Bitter/ESB,-,0
7,Arrow Point Amber,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Big Time Lift Ticket American Red Ale,23rd Street Brewery,Specialty Grain,-,0
8,Lavery Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Sawdust City Red Rocket Coffee Spiced Stout,23rd Street Brewery,Specialty Grain,-,0
9,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Kern River Dirty Hippie Imperial Red Ale,Lavery Brewing Company,Specialty Grain,-,0
