,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Specialty Grain,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '23rd Street Brewery']","['Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale', 'Blue Corn Brewery &#40; Santa Fe &#41;']",0.38807285,0.61192715,2
1,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,23rd Street Brewery,Specialty Grain,5.20 %,"('rtable_Beer_Name', 'rtable_ABV')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '-']","['Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale', '5.20 %']",0.18553968,0.8144604,2
4,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Gnarly Oak Hazelnut Dark,23rd Street Brewery,Specialty Grain,-,"('rtable_Beer_Name',)",['23rd Street Pumpkin Ale Bourbon Barrel Aged'],['Gnarly Oak Hazelnut Dark'],0.36546063,0.63453937,2
5,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Gnarly Oak Hazelnut Dark,23rd Street Brewery,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', 'Specialty Grain']","['Gnarly Oak Hazelnut Dark', 'Amber Ale']",0.15330069,0.8466993,2
6,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Gnarly Oak Hazelnut Dark,23rd Street Brewery,Specialty Grain,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '-']","['Gnarly Oak Hazelnut Dark', '5.50 %']",0.35241884,0.64758116,2
9,Amber Chai,Boston Beer Works - Canal Street,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company']","['Amber Chai', 'Boston Beer Works - Canal Street']",0.38689512,0.6131049,2
2,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Specialty Grain,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '23rd Street Brewery', '-']","['Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale', 'Blue Corn Brewery &#40; Santa Fe &#41;', '5.20 %']",0.009575837,0.9904241,3
7,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '23rd Street Brewery', 'Specialty Grain']","['Gnarly Oak Hazelnut Dark', 'Minhas Craft Brewery', 'Amber Ale']",0.040730424,0.9592696,3
10,Amber Chai,Boston Beer Works - Canal Street,American Amber / Red Ale,10.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company', 'American Amber / Red Ale']","['Amber Chai', 'Boston Beer Works - Canal Street', 'American Amber / Red Ale']",0.38689512,0.6131049,3
11,Amber Chai,Boston Beer Works - Canal Street,American Amber / Red Ale,6.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company', '10.00 %']","['Amber Chai', 'Boston Beer Works - Canal Street', '6.00 %']",0.36858466,0.63141537,3
3,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '23rd Street Brewery', 'Specialty Grain', '-']","['Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale', 'Blue Corn Brewery &#40; Santa Fe &#41;', 'Amber Ale', '5.20 %']",0.020516226,0.97948384,4
8,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style', 'rtable_ABV')","['23rd Street Pumpkin Ale Bourbon Barrel Aged', '23rd Street Brewery', 'Specialty Grain', '-']","['Gnarly Oak Hazelnut Dark', 'Minhas Craft Brewery', 'Amber Ale', '5.50 %']",0.16199127,0.8380087,4
12,Amber Chai,Boston Beer Works - Canal Street,American Amber / Red Ale,6.00 %,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Tongue Buckler ( Bourbon Barrel Aged )', 'Ballast Point Brewing Company', 'American Amber / Red Ale', '10.00 %']","['Amber Chai', 'Boston Beer Works - Canal Street', 'American Amber / Red Ale', '6.00 %']",0.36858466,0.63141537,4
