,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,mac os x server v10 .4.7 unlimited client,macsoft,259.95,apple apple mac os x server 10 4 7 10 client,nan,499.0,1
1,adobe acrobat 7.0 professional,apple,999.0,apple apple mac os x server 10 4 7 10 client,nan,29.99,1
2,adobe flash pro cs3 upgrade [ mac ],apple,999.0,instant immersion spanish deluxe 2.0 topics,nan,499.0,1
3,mac os x server v10 .4.7 unlimited client,intuit,999.0,apple apple mac os x server 10 4 7 10 client,global-software-publishing,499.0,1
4,mac os x server v10 .4.7 unlimited client,apple,999.0,apple apple mac os x server 10 4 7 10 client,nan,998.95,1
5,final draft av 2.5 win/mac,apple,999.0,apple apple mac os x server 10 4 7 10 client,nan,82.99,1
6,mac os x server v10 .4.7 unlimited client,apple,449.99,adobe cs3 design standard academic,nan,499.0,1
7,apple final cut studio 2 ( mac ),apple,999.0,apple apple mac os x server 10 4 7 10 client,nan,499.0,1
8,mac os x server v10 .4.7 unlimited client,apple,499.99,apple software m9372z/a final cut express 2.0 upgrade,nan,499.0,1
9,mac os x server v10 .4.7 unlimited client,apple,399.0,apple apple mac os x server 10 4 7 10 client,nan,499.0,1
