,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,match,label
0,393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,831,individual software professor teaches microsoft office 2007,,29.99,0.003728598,0
1,559,adobe dreamweaver cs3 [ mac ],adobe,399.0,324,adobe cs3 web premium,,1659.99,0.0034639565,0
2,558,instant immersion spanish 2.0,topics entertainment,29.99,3023,instant immers japanese dlx 2 .,,36.11,0.0035555405,0
3,762,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,1618,ghost recon gold edition ( dvd-rom ),,20.95,0.0037105053,0
4,1262,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,2860,adobe illustrator cs3 ( mac ),,599.0,0.003835385,0
5,654,acrobat professional 8 ( windows ),adobe,273.0,1183,web easy ( r ) professional 6,,49.99,0.0036827424,0
6,423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,2847,microsoft office visio standard 2007 ( pc ),,249.95,0.004632602,0
7,858,microsoft onenote 2007 upgrade,microsoft,79.95,1805,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,0.004052436,0
8,722,steinberg nuendo 3 digital audio software,steinberg,2499.0,2331,steinberg wavelab studio 6 audio editing software educational discount music production software,,149.95,0.0036896158,0
9,1198,quickbooks point-of-sale basic 6.0,intuit,799.95,3033,quickbooks pro 2007 3 user,,409.52,0.00355945,0
10,522,microsoft visio standard 2007,microsoft,259.95,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,0.0048167966,0
11,561,quicken 2007 basic,intuit,29.95,1136,quicken ( r ) for mac 2007,,69.99,0.004218021,0
12,606,microsoft office 2004 professional ( mac ),microsoft,499.99,2867,microsoft onenote 2007 ( pc ),,99.95,0.003399291,0
13,1170,steinberg cubase 4 digital audio software,steinberg,999.99,861,migo software digital file shredder 2005,,24.58,0.0039925138,0
14,614,microsoft works suite 2006,microsoft,99.0,945,microsoft office 2004 student/teacher,,145.99,0.00440766,0
15,1241,quicken legal business pro 2007,nolo press,79.99,3145,palo alto business plan pro 2007,,83.99,0.005320905,0
16,1111,apple final cut studio 2 ( mac ),apple,1299.0,2755,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,0.0052784183,0
17,270,adobe acrobat 7.0 professional,adobe,449.99,2177,adobe after effects professional 7.0 software effects software,,998.95,0.004369033,0
18,225,microsoft powerpoint 2004 ( mac ),microsoft,229.99,2837,microsoft money 2007 home and business ( pc ),,89.99,0.004022778,0
19,597,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,242,adobe cs3 design standard academic,,385.99,0.0035836638,0
20,661,adobe cs3 design standard macosx dvd,adobe,399.0,946,adobe cs3 design standard upgrade,,413.99,0.0064481203,0
21,705,professional home design suite platinum,punch ! software,99.95,2054,scrapbook designer platinum,riverdeep-learning-company,17.9,0.0033927904,0
22,1191,sims 2 glamour life stuff pack,aspyr media,24.99,567,aspyr media inc sims 2 glamour life stuff pack,,23.44,0.9877551,1
23,606,microsoft office 2004 professional ( mac ),microsoft,499.99,1485,diskeeper 2007 professional,,46.95,0.0037977523,0
24,1030,final draft av 2.5 win/mac,final draft,199.99,2320,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,0.98055905,1
25,1105,punch ! master landscape & home design,punch ! software,59.99,783,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,0.0037339993,0
26,1225,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,2383,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,0.0040112985,0
27,536,adobe photoshop elements 4.0 ( mac ),adobe,89.99,750,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,0.034840513,1
28,375,reel deal casino championship edition,phantom efx,19.99,532,phantom efx reel deal casino shuffle master edition,,17.24,0.0072321235,0
29,1022,panda internet security 2007 3-user,panda software,69.95,2865,mcafee internet security suite 2007 3-user ( pc ),,89.99,0.8540032,0
30,781,microsoft excel 2004 ( mac ),microsoft,229.99,3199,microsoft ( r ) office ultimate 2007,,539.95,0.0035063594,0
31,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,3160,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,0.003730857,0
32,578,microsoft office excel 2007,microsoft,229.95,2195,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,0.004245228,0
33,276,instant immersion 33 languages,topics entertainment,49.99,3022,instant immersion 33 languages,,47.36,0.007598901,1
34,646,instant immersion german audio,topics entertainment,,836,topics entertainment instant immersion ingles audio deluxe,,17.55,0.0039228606,0
35,511,microsoft publisher 2007 version upgrade,microsoft,99.95,2821,microsoft excel 2007 ( pc ),,229.95,0.00395438,0
36,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,1514,microsoft windows vista home basic upgrade ( pc ),,99.99,0.0034617635,0
37,587,microsoft word 2007 version upgrade,microsoft,109.95,1001,microsoft ( r ) money 2007 premium,,69.99,0.0041011306,0
38,1109,halo ( mac ),macsoft,29.99,2852,. mac ( mac ) apple,,99.99,0.009501931,0
39,799,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,1592,passwords plus v. 1.0 complete package,,28.5,0.018312791,0
40,1269,punch 5 in 1 home design,punch ! software,39.99,1433,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,0.028323246,1
41,1258,punch ! home design architectura series 18,punch ! software,129.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,0.0033713228,0
42,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,897,adobe contribute cs3 upgrade,,82.99,0.020655802,0
43,539,learning quickbooks 2007,intuit,39.95,1311,quickbooks ( r ),,178.99,0.004411979,0
44,897,adobe creative suite cs3 production premium upsell,adobe,1199.0,3017,production prem cs3 mac upgrad,,808.15,0.0033351819,0
45,22,musicalis guitar workshop,global-software-publishing,9.99,1435,musicalis universal guitar workshop,global-software-publishing,12.9,0.98659223,1
46,997,mac os x server v10 .4.7 unlimited client,apple,999.0,1599,apple apple mac os x server 10 4 7 10 client,,499.0,0.9749851,0
47,348,microsoft office & windows training,topics entertainment,29.99,239,microsoft windows vista ultimate retail no open box returns,,399.99,0.00398165,0
48,112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,3119,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,0.036203347,0
