,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,12.00 %,Arrow Point Amber,21st Amendment Brewery,American Amber / Red Ale,9.20 %,Riverbend Barrel Aged Right Said Red,21st Amendment Brewery,Amber Ale,0
1,12.00 %,Rocket City Red,Oskar Blues Grill & Brew,American Barleywine,9.20 %,Bainbridge Island Arrow Point Amber,Council Rock Brewery,American Strong Ale,1
2,12.00 %,Arrow Point Amber,21st Amendment Brewery,American Amber / Red Ale,5.80 %,Riverbend Barrel Aged Right Said Red,21st Amendment Brewery,Amber Ale,1
3,12.00 %,Rocket City Red,Oskar Blues Grill & Brew,American Barleywine,5.80 %,Bainbridge Island Arrow Point Amber,Council Rock Brewery,Amber Ale,1
4,12.00 %,Rocket City Red,Oskar Blues Grill & Brew,American Barleywine,9.20 %,Bainbridge Island Arrow Point Amber,Council Rock Brewery,Amber Ale,1
5,12.00 %,Bushfire American Red,Elevator Brewery & Draught Haus,American Barleywine,11.25 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,Barley Wine,0
6,12.00 %,Honey Basil Amber,57 Brew Pub & Bistro,American Barleywine,5.80 %,Riverbend Barrel Aged Right Said Red,Blue Cat Brew Pub,Specialty Grain,0
7,12.00 %,Arrow Point Amber,Elevator Brewery & Draught Haus,American Amber / Red Ale,9.20 %,Riverbend Barrel Aged Right Said Red,21st Amendment Brewery,Amber Ale,0
8,12.00 %,Arrow Point Amber,Elevator Brewery & Draught Haus,American Barleywine,7.10 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,0
9,6.20 %,Bushfire American Red,Elevator Brewery & Draught Haus,American Barleywine,6.50 %,Hillcrest Big Red Balls,Riverbend Brewing & Sports Pub,American Strong Ale,1
