,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Morena,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name',)",['Bourbon Barrel Aged Horus Imperial Red'],['Morena'],0.4174383878707886,0.5825616121292114,2
298,EHOP,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Bourbon Barrel Aged Horus Imperial Red', 'American Amber / Red Ale']","['EHOP', 'American Amber / Red Ale']",0.2368364930152893,0.7631635069847107,2
297,EHOP,Deschutes Brewery,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Bourbon Barrel Aged Horus Imperial Red', 'Elevator Brewery & Draught Haus']","['EHOP', 'Deschutes Brewery']",0.22340905666351318,0.7765909433364868,2
296,EHOP,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name',)",['Bourbon Barrel Aged Horus Imperial Red'],['EHOP'],0.2368364930152893,0.7631635069847107,2
716,IPAmber,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name',)",['Bourbon Barrel Aged Horus Imperial Red'],['IPAmber'],0.3178160786628723,0.6821839213371277,2
537,Metro Gnome,Elevator Brewery & Draught Haus,American Amber / Red Ale,5.60 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Bourbon Barrel Aged Horus Imperial Red', '12.00 %']","['Metro Gnome', '5.60 %']",0.4257549047470093,0.5742450952529907,2
291,Ambler,Elevator Brewery & Draught Haus,American Amber / Red Ale,4.70 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Bourbon Barrel Aged Horus Imperial Red', '12.00 %']","['Ambler', '4.70 %']",0.23562955856323242,0.7643704414367676,2
290,Ambler,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Bourbon Barrel Aged Horus Imperial Red', 'American Amber / Red Ale']","['Ambler', 'American Amber / Red Ale']",0.27887797355651855,0.7211220264434814,2
289,Ambler,Phantom Carriage,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Bourbon Barrel Aged Horus Imperial Red', 'Elevator Brewery & Draught Haus']","['Ambler', 'Phantom Carriage']",0.23247241973876953,0.7675275802612305,2
288,Ambler,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,"('ltable_Beer_Name',)",['Bourbon Barrel Aged Horus Imperial Red'],['Ambler'],0.27887797355651855,0.7211220264434814,2
