,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,canon,nan,nan,119.88,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
1,nan,usb drives,q3675a,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,q3675a,nan,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
2,nan,usb drives,q3675a,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,coaxial speakers,q3675a,nan,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
3,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,nan,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
4,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,119.88,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
5,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,nan,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white laminating supplies,1
6,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,11.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,1
7,nan,usb drives,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,16.87,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
8,nan,stationery & office machinery,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,nan,nan,nan,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
9,nan,stationery & office machinery,nan,nan,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,nan,bags cases,nan,nan,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,1
