,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,129.99,punch ! home design architectura series 18,global-software-publishing,45.97,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,1
1,global-software-publishing,129.99,sims 2 glamour life stuff pack,global-software-publishing,45.97,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,1
2,sony-pictures-digital-entertainment,49.99,punch ! home design architectura series 18,global-software-publishing,45.97,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,1
3,global-software-publishing,49.99,punch ! home design architectura series 18,nan,45.97,topics entertainment instant immersion ingles audio deluxe,1
4,apple,49.99,punch ! home design architectura series 18,nan,45.97,web easy ( r ) professional 6,1
5,global-software-publishing,129.99,punch ! home design architectura series 18,global-software-publishing,808.15,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,1
6,me-too-software,129.99,final draft av 2.5 win/mac,global-software-publishing,45.97,quickbooks pro 2007 3 user,1
7,global-software-publishing,129.99,sims 2 glamour life stuff pack,global-software-publishing,145.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,0
8,macsoft,229.95,punch ! home design architectura series 18,nan,399.95,phantom efx reel deal casino shuffle master edition,0
9,macsoft,49.99,punch ! home design architectura series 18,nan,45.97,microsoft windows vista home basic upgrade ( pc ),1
