,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.00 %,Rocket City Red,Rude Hippo Brewing Company,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
1,5.00 %,Rocket City Red,Galveston Island Brewing Company,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
2,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Heist Brewery,Spice/Herb/Vegetable,1
3,5.00 %,Rocket City Red,Great Storm Brewing Co. .,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
4,5.00 %,Rocket City Red,The Pike Brewing Company,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
5,5.00 %,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Council Rock Brewery,Spice/Herb/Vegetable,1
6,5.00 %,Rocket City Red,Three Heads Brewing,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
7,5.00 %,Rocket City Red,57 Brew Pub & Bistro,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
8,5.00 %,Rocket City Red,Red Rock Brewing Company,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
9,5.00 %,Rocket City Red,Central City Brewers + Distillers,American Amber / Red Ale,5.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,1
