,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
1,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,olympus fe-360 digital camera pink 226540,nan,0
2,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh 7.3 cu . ft. capacity intelligent electronic controls with dual led display and dial-a-cycle dual humidity sensors precise temperature control with a variable heater 4 way venting drum light white finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
3,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,olympus premium slim leather case in black 202087,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
4,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,"canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge",maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
5,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,canon silver powershot digital camera sd880is,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
6,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,"samsung ln46a860 46 ' lcd tv ( widescreen , 1920x1080 , 50000:1 , hdtv )",nan,0
7,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
8,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,panasonic kx-tga670b cordless handset,nan,0
9,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,nan,nan,maytag 2.0 cu . ft. over-the-range microwave oven,nan,0
