,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000","andrew eisenberg , jim melton",nan,2002.0,"a database system for real-time event aggregation in telecommunication jerry baulier , stephen blott , henry f. korth , abraham silberschatz",nan,very large data bases,2002.0,0
1,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000","andrew eisenberg , jim melton",nan,2002.0,"a database system for real-time event aggregation in telecommunication jerry baulier , stephen blott , henry f. korth , abraham silberschatz",nan,nan,2002.0,0
2,sql/xml is making good progress sigmod record,"andrew eisenberg , jim melton",sigmod record,2002.0,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",joseph fong,nan,2002.0,0
3,sql/xml is making good progress sigmod record,"andrew eisenberg , jim melton",sigmod record,2002.0,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",nan,very large data bases,2002.0,0
4,sql/xml is making good progress sigmod record,"andrew eisenberg , jim melton",sigmod record,2002.0,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",nan,nan,2002.0,0
5,sql/xml is making good progress sigmod record,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",nan,2002.0,"infoharness : a system for search and retrieval of heterogeneous information leon shklar , amit sheth , vipul kashyap , satish thatte",nan,nan,2002.0,0
6,efficient computation of iceberg cubes with complex measures 2001,"andrew eisenberg , jim melton",nan,2002.0,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record","man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",international conference on management of data,2002.0,0
7,coss : the common object services specifications sigmod conference 1994,"andrew eisenberg , jim melton",nan,1996.0,anatomy of a real e-commerce system anant jhingran international conference on management of data 2000,nan,nan,2002.0,0
8,sql/xml is making good progress sigmod record,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",nan,2002.0,ptool : a scalable persistent object manager international conference on management of data,nan,nan,2002.0,0
9,sql/xml is making good progress sigmod record,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",nan,2002.0,ptool : a scalable persistent object manager international conference on management of data,nan,nan,1997.0,0
