,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,atrend-bbox a361-12cp b box series speaker,car stereos,draper,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('ltable_brand',)",['atrend'],['draper'],0,0,0.8840777,0.11592224,2
1,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,4375.95,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('ltable_price',)",[56.88],[4375.95],0,0,0.9983034,0.001696571,2
2,,atrend-bbox a361-12cp b box series speaker,car stereos,quartet,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('ltable_brand',)",['atrend'],['quartet'],0,0,0.93629944,0.06370061,2
3,,atrend-bbox a361-12cp b box series speaker,car stereos,hp,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('ltable_brand',)",['atrend'],['hp'],0,0,0.9860459,0.013954102,2
4,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,th1702,88.85,"('rtable_modelno',)",['a362-12cp'],['th1702'],0,0,0.9997211,0.0002789103,2
5,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,,"('rtable_price',)",[88.85],[nan],0,0,0.64600295,0.35399705,2
6,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,talkabout mc220r two way radio,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('rtable_title',)",['atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch'],['talkabout mc220r two way radio'],0,0,0.99268407,0.007315901,2
7,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,motorola,a362-12cp,88.85,"('rtable_brand',)",['atrend-bbox'],['motorola'],0,0,0.933705,0.06629503,2
8,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,avery cd labels - 100 disc labels 200 spine labels 8691,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('rtable_title',)",['atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch'],['avery cd labels - 100 disc labels 200 spine labels 8691'],0,0,0.9987016,0.001298356,2
9,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,avery,a362-12cp,88.85,"('rtable_brand',)",['atrend-bbox'],['avery'],0,0,0.98896456,0.0110354,2
10,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,8691,88.85,"('rtable_modelno',)",['a362-12cp'],['8691'],0,0,0.99632156,0.0036784548,2
11,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,belkin 7ft rj11m rj11m 100mbps snagless hi-speed internet modem snagless cable ice,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('rtable_title',)",['atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch'],['belkin 7ft rj11m rj11m 100mbps snagless hi-speed internet modem snagless cable ice'],0,0,0.98157275,0.018427229,2
12,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,f3l900-07-ice-s,88.85,"('rtable_modelno',)",['a362-12cp'],['f3l900-07-ice-s'],0,0,0.99743867,0.0025613545,2
13,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,verbatim 25pk cd-rw 74min 650mb 16x-24x 94583,coaxial speakers,atrend-bbox,a362-12cp,88.85,"('rtable_title',)",['atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch'],['verbatim 25pk cd-rw 74min 650mb 16x-24x 94583'],0,0,0.9989796,0.0010203146,2
14,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,94583,88.85,"('rtable_modelno',)",['a362-12cp'],['94583'],0,0,0.999694,0.00030607032,2
15,,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,tu2-et100,88.85,"('rtable_modelno',)",['a362-12cp'],['tu2-et100'],0,0,0.99954057,0.00045943903,2
