,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,sony alpha digital slr black camera body dslra350 14.2 megapixels tiltable 2.7 ' clear photo lcd plus screen continuous shooting while viewing smart teleconverter 2x zoom expanded iso sensitivity super steadyshot in-camera image stabilization bionz image processor dynamic range optimizer anti-dust technology auto pop-up flash eye-start autofocus system 9-point center cross af sensor black finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,104.95,1
1,sony alpha digital slr black camera body dslra350 14.2 megapixels tiltable 2.7 ' clear photo lcd plus screen continuous shooting while viewing smart teleconverter 2x zoom expanded iso sensitivity super steadyshot in-camera image stabilization bionz image processor dynamic range optimizer anti-dust technology auto pop-up flash eye-start autofocus system 9-point center cross af sensor black finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,nan,1
2,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,397.77,1
3,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,35.0,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,89.45,1
4,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,639.95,1
5,sony blu-ray disc player bdps550 decode dolby truehd and dts hd internally full hd 1080 video output 24p true cinema dvd upscaling to 1080p via hdmi bravia theatre sync ( hdmi-cec ) bd/dvd/cd playback and avchd with x.v. color output dolby digital plus decoding backlit remote glass front finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",panasonic kx-tg9342t cordless phone,nan,1
6,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,89.45,1
7,sony alpha digital slr black camera body dslra350 14.2 megapixels tiltable 2.7 ' clear photo lcd plus screen continuous shooting while viewing smart teleconverter 2x zoom expanded iso sensitivity super steadyshot in-camera image stabilization bionz image processor dynamic range optimizer anti-dust technology auto pop-up flash eye-start autofocus system 9-point center cross af sensor black finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,178.0,"1 x phone line ( s ) black , metallic",panasonic kx-tg9342t cordless phone,104.95,1
8,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,nan,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,panasonic kx-tg9342t cordless phone,nan,1
9,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,panasonic integrated white telephone system with all-digital answering system kxts620w,nan,uniden tcx-905 tru-digital expansion handset with caller id,lg electronics wdp3 laundry pedestal with drawer blue,nan,1
