,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,9.50 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
1,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Winthrop Brewing Company,Amber Ale,1
2,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,7 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
3,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,8.79 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
4,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,5.60 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
5,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,9 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
6,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,5.40 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
7,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
8,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Barleywine,-,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
9,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,10 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
