,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Winthrop Double Dry Hopped Amber', 'Winthrop Brewing Company']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt']",1,0,0.09589043,0.9041096,2
113,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['Blue Bridge Amber Dry Hopped'],1,0,0.36640283,0.63359714,2
107,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Winthrop Double Dry Hopped Amber,Galveston Island Brewing Company,Amber Ale,6.00 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Winthrop Brewing Company', '-']","['Galveston Island Brewing Company', '6.00 %']",1,0,0.29709938,0.70290065,2
106,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Winthrop Brewing Company,Amber Ale,6.00 %,"('rtable_Beer_Name', 'rtable_ABV')","['Winthrop Double Dry Hopped Amber', '-']","['Blue Bridge Amber Dry Hopped', '6.00 %']",1,0,0.13447241,0.86552763,2
105,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Winthrop Double Dry Hopped Amber', 'Winthrop Brewing Company']","['Blue Bridge Amber Dry Hopped', 'Galveston Island Brewing Company']",1,0,0.12204469,0.87795526,2
104,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['Blue Bridge Amber Dry Hopped'],1,0,0.36640283,0.63359714,2
102,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Winthrop Double Dry Hopped Amber,Galveston Island Brewing Company,Amber Ale,6.00 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Winthrop Brewing Company', '-']","['Galveston Island Brewing Company', '6.00 %']",1,0,0.29709938,0.70290065,2
101,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Winthrop Brewing Company,Amber Ale,6.00 %,"('rtable_Beer_Name', 'rtable_ABV')","['Winthrop Double Dry Hopped Amber', '-']","['Blue Bridge Amber Dry Hopped', '6.00 %']",1,0,0.13447241,0.86552763,2
100,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Winthrop Double Dry Hopped Amber', 'Winthrop Brewing Company']","['Blue Bridge Amber Dry Hopped', 'Galveston Island Brewing Company']",1,0,0.12204469,0.87795526,2
99,,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['Blue Bridge Amber Dry Hopped'],1,0,0.36640283,0.63359714,2
