,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,aspyr media,24.99,quicken 2007 basic,nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
1,aspyr media,24.99,sims 2 glamour life stuff pack,nan,23.44,adobe photoshop elements 4.0 photo-editing software for mac,0
2,aspyr media,24.99,sims 2 glamour life stuff pack,nan,23.44,microsoft ( r ) windows ( r ) xp professional edition with sp2,0
3,steinberg,24.99,sims 2 glamour life stuff pack,nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
4,aspyr media,24.99,adobe cs3 design standard macosx dvd,nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
5,aspyr media,24.99,steinberg cubase 4 digital audio software,nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
6,aspyr media,24.99,sims 2 glamour life stuff pack,nan,23.44,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
7,aspyr media,24.99,instant immersion german audio,nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
8,aspyr media,24.99,sims 2 glamour life stuff pack,nan,23.44,microsoft ( r ) money 2007 premium,0
9,aspyr media,24.99,foreign policy & reform ( win/mac ) ( jewel case ),nan,23.44,aspyr media inc sims 2 glamour life stuff pack,0
