,ltable_id,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_id,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,match
0,1219,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,2470,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0.66678154
1,492,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,1635,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,3.323138e-07
2,3917,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,2224,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.9724648
3,2155,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,2948,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,3.4819277e-05
4,271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,1410,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0.9202191
5,3309,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,1.0293332e-06
6,1024,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,37,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1.27538e-05
7,1780,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,685,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,0.9991697
8,1479,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,1563,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,0.8908987
9,2026,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,1679,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,2.5388722e-09
10,2155,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,1261,Big Time Lift Ticket American Red Ale,Big Time Brewery,India Pale Ale &#40; IPA &#41;,7 %,1.8315795e-06
11,525,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,433,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,0.020258063
12,3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,641,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1.3743933e-07
13,4068,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,2374,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,0.00022312535
14,4203,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,2425,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,0.0035780407
15,2572,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,221,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,0.0031079578
16,309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,2621,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,1.3319502e-07
17,309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,418,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,0.0027666169
18,200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,559,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,0.4134759
19,3963,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,0.00010849247
20,2633,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,2143,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,-,0.5988629
21,2558,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,1284,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,0.64501435
22,1218,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,2463,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,9.70 %,0.013361188
23,285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,411,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,2.8084481e-09
24,184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,1889,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,4.8481503e-09
25,1178,Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,1.0506601e-09
26,501,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,216,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,5.697786e-07
27,29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,2883,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,1.4654135e-07
28,184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,3.5774228e-08
29,563,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,1177,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0.00035053914
30,507,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,1.5404568e-08
31,1755,Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,1635,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1.01622064e-07
32,1904,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,2681,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,0.0047080303
33,3402,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,1889,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,2.1188825e-07
34,1251,Big Red Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,812,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %,0.0022427698
35,113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,475,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,8.976055e-06
36,2596,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,2124,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,0.9227537
37,406,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,2071,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,-,0.001441135
