,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,final draft,199.99,final draft av 2.5 win/mac,nan,199.95,individual software professor teaches microsoft office 2007,0
1,final draft,199.99,final draft av 2.5 win/mac,nan,17.9,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
2,final draft,199.99,final draft av 2.5 win/mac,nan,199.95,musicalis universal guitar workshop,0
3,final draft,199.99,microsoft visual studio test agent 2005 cd 1 processor license,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
4,final draft,199.99,punch 5 in 1 home design,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
5,final draft,199.99,punch ! home design architectura series 18,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
6,final draft,199.99,quicken 2007 basic,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
7,final draft,199.99,final draft av 2.5 win/mac,nan,199.95,adobe cs3 design standard upgrade,0
8,final draft,199.99,adobe cs3 design standard macosx dvd,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
9,fogware publishing,199.99,final draft av 2.5 win/mac,nan,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,0
