,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,professional home design suite platinum,phantom efx,99.95,scrapbook designer platinum,sibelius-software-ltd .,17.9,1
1,professional home design suite platinum,punch ! software,99.95,individual software professor teaches microsoft office 2007,apple software,17.9,1
2,professional home design suite platinum,punch ! software,99.95,scrapbook designer platinum,nan,1659.99,1
3,professional home design suite platinum,intuit,99.95,scrapbook designer platinum,riverdeep-learning-company,249.95,1
4,acrobat professional 8 ( windows ),adobe,99.95,scrapbook designer platinum,riverdeep-learning-company,17.9,1
5,professional home design suite platinum,punch ! software,799.95,palo alto business plan pro 2007,riverdeep-learning-company,17.9,1
6,microsoft office excel 2007,punch ! software,99.95,microsoft ( r ) money 2007 premium,riverdeep-learning-company,17.9,1
7,acrobat professional 8 ( windows ),sony-pictures-digital-entertainment,99.95,scrapbook designer platinum,riverdeep-learning-company,17.9,1
8,professional home design suite platinum,punch ! software,99.95,adobe contribute cs3 upgrade,global-software-publishing,17.9,1
9,professional home design suite platinum,sony-pictures-digital-entertainment,99.95,scrapbook designer platinum,riverdeep-learning-company,413.99,1
