,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,SPB Barrel Aged Mississippi Fire Ant,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['SPB Barrel Aged Mississippi Fire Ant'],0.22401512,0.77598494,2
16,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Winthrop Double Dry Hopped Amber,Rip Current Brewing,Amber Ale,7 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Winthrop Brewing Company', '-']","['Rip Current Brewing', '7 %']",0.4271151,0.5728849,2
15,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Rip Current Raked Over Red,Winthrop Brewing Company,Amber Ale,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Winthrop Double Dry Hopped Amber', '-']","['Rip Current Raked Over Red', '7 %']",0.2878231,0.7121769,2
14,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Rip Current Raked Over Red,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Winthrop Double Dry Hopped Amber', 'Amber Ale']","['Rip Current Raked Over Red', 'Amber Ale']",0.4447943,0.5552057,2
13,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Rip Current Raked Over Red,Rip Current Brewing,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Winthrop Double Dry Hopped Amber', 'Winthrop Brewing Company']","['Rip Current Raked Over Red', 'Rip Current Brewing']",0.087323435,0.9126765,2
12,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Rip Current Raked Over Red,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['Rip Current Raked Over Red'],0.44479427,0.55520576,2
9,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Deep Creek Little Armoured One,Deep Creek Brewing Co,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Winthrop Double Dry Hopped Amber', 'Winthrop Brewing Company']","['Deep Creek Little Armoured One', 'Deep Creek Brewing Co']",0.34056136,0.6594386,2
8,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Deep Creek Little Armoured One,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name',)",['Winthrop Double Dry Hopped Amber'],['Deep Creek Little Armoured One'],0.38044986,0.6195501,2
10,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,Deep Creek Little Armoured One,Winthrop Brewing Company,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Winthrop Double Dry Hopped Amber', 'Amber Ale']","['Deep Creek Little Armoured One', 'Amber Ale']",0.38044986,0.6195501,2
3,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,SPB Barrel Aged Mississippi Fire Ant,Winthrop Brewing Company,Amber Ale,8 %,"('rtable_Beer_Name', 'rtable_ABV')","['Winthrop Double Dry Hopped Amber', '-']","['SPB Barrel Aged Mississippi Fire Ant', '8 %']",0.08683458,0.91316545,2
2,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,SPB Barrel Aged Mississippi Fire Ant,Winthrop Brewing Company,American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Winthrop Double Dry Hopped Amber', 'Amber Ale']","['SPB Barrel Aged Mississippi Fire Ant', 'American Strong Ale']",0.04864336,0.95135665,2
