,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,9.99,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,199.99,microsoft money 2007 home and business ( pc ),1
1,hewlett-packard - ( consumables ),89.99,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,89.99,microsoft money 2007 home and business ( pc ),1
2,global-software-publishing,229.99,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,399.95,. mac ( mac ) apple,1
3,global-software-publishing,1299.0,microsoft powerpoint 2004 ( mac ),global-software-publishing,89.99,microsoft money 2007 home and business ( pc ),1
4,sony-pictures-digital-entertainment,79.99,microsoft powerpoint 2004 ( mac ),global-software-publishing,20.95,ghost recon gold edition ( dvd-rom ),1
5,global-software-publishing,89.99,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,89.99,microsoft money 2007 home and business ( pc ),1
6,global-software-publishing,39.95,microsoft word 2007 version upgrade,global-software-publishing,89.99,adobe contribute cs3 upgrade,1
7,global-software-publishing,9.99,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,199.99,individual software professor teaches microsoft office 2007,1
8,hewlett-packard - ( consumables ),89.99,microsoft office 2004 professional ( mac ),sibelius-software-ltd .,89.99,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,1
9,hewlett-packard - ( consumables ),89.99,microsoft office 2004 professional ( mac ),sibelius-software-ltd .,89.99,microsoft money 2007 home and business ( pc ),1
