,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,panda internet security 2007 3-user,panda software,69.95,microsoft microsoft office 2004 software suite mac apple & mac software,nan,89.99,1
1,panda internet security 2007 3-user,panda software,69.95,mcafee internet security suite 2007 3-user ( pc ),apple software,69.99,1
2,musicalis guitar workshop,panda software,69.95,instant immersion spanish deluxe 2.0 topics,nan,89.99,1
3,mac os x server v10 .4.7 unlimited client,panda software,69.95,mcafee internet security suite 2007 3-user ( pc ),global-software-publishing,89.99,0
4,microsoft office frontpage 2003 academic version windows ),panda software,69.95,mcafee internet security suite 2007 3-user ( pc ),punch software,89.99,1
5,panda internet security 2007 3-user,panda software,69.95,mcafee internet security suite 2007 3-user ( pc ),nan,599.0,1
6,panda internet security 2007 3-user,panda software,229.95,mcafee internet security suite 2007 3-user ( pc ),nan,79.99,1
7,microsoft visual studio test agent 2005 cd 1 processor license,global-software-publishing,69.95,mcafee internet security suite 2007 3-user ( pc ),nan,89.99,1
8,panda internet security 2007 3-user,microsoft licenses,99.95,mcafee internet security suite 2007 3-user ( pc ),nan,89.99,1
9,panda internet security 2007 3-user,panda software,69.95,mcafee internet security suite 2007 3-user ( pc ),sibelius-software-ltd .,1659.99,1
