,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 3570 las vegas blvd. s ',atlanta,50.0,abruzzi,404/261 -8186,` coffee shops/diners ',' 3300 las vegas blvd. s. ',` santa monica ',7.0,` shun lee palace ',702-737-7111,continental,1
1,' 3226 mission st. ',` las vegas ',83.0,` cafe roma ',404/876 -4408,` health food ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` island spice ',213-848-6677,seafood,1
2,' 3570 las vegas blvd. s ',` las vegas ',83.0,` cafe roma ',702/731 -7547,` health food ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` buccaneer bay club ',213-848-6677,seafood,1
3,' 3226 mission st. ',` las vegas ',83.0,` cafe roma ',404/876 -4408,` health food ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` buccaneer bay club ',213-848-6677,seafood,1
4,' 3226 mission st. ',` las vegas ',83.0,` cafe roma ',702/731 -7547,` health food ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` buccaneer bay club ',213-848-6677,seafood,1
5,' 3570 las vegas blvd. s ',atlanta,50.0,` cafe roma ',404/261 -8186,` coffee shops/diners ',' 3300 las vegas blvd. s. ',` santa monica ',7.0,` shun lee palace ',702-737-7111,continental,1
6,' 3555 las vegas blvd. s ',` las vegas ',22.0,` cafe roma ',702/731 -7547,` coffee shops/diners ',' 3300 las vegas blvd. s. ',` las vegas ',74.0,` buccaneer bay club ',702-252-7702,continental,1
7,' 3570 las vegas blvd. s ',` las vegas ',83.0,` cafe roma ',702/731 -7547,` coffee shops/diners ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` buccaneer bay club ',702-894-7350,seafood,1
8,' 3555 las vegas blvd. s ',` las vegas ',22.0,` mandarin court ',702/731 -7547,` coffee shops/diners ',' 3300 las vegas blvd. s. ',` las vegas ',74.0,` buccaneer bay club ',702-252-7702,continental,1
9,' 3570 las vegas blvd. s ',` las vegas ',83.0,` cafe roma ',702/731 -7547,` health food ',' 3300 las vegas blvd. s. ',` new york city ',83.0,` buccaneer bay club ',702-894-7350,seafood,1
