,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,apple,49.99,mac os x server v10 .4.7 unlimited client,nan,229.95,steinberg wavelab studio 6 audio editing software educational discount music production software,0
1,apple,109.95,mac os x server v10 .4.7 unlimited client,nan,20.95,passwords plus v. 1.0 complete package,1
2,apple,999.0,mac os x server v10 .4.7 unlimited client,apple software,499.0,aspyr media inc sims 2 glamour life stuff pack,1
3,apple,99.95,mac os x server v10 .4.7 unlimited client,nan,20.95,ghost recon gold edition ( dvd-rom ),1
4,apple,19.99,microsoft onenote 2007 upgrade,apple software,998.95,apple software m9372z/a final cut express 2.0 upgrade,1
5,global-software-publishing,999.0,steinberg nuendo 3 digital audio software,global-software-publishing,499.0,microsoft money 2007 home and business ( pc ),1
6,global-software-publishing,999.0,microsoft publisher 2007 version upgrade,global-software-publishing,499.0,apple apple mac os x server 10 4 7 10 client,1
7,apple,999.0,mac os x server v10 .4.7 unlimited client,apple software,499.0,passwords plus v. 1.0 complete package,1
8,sony-pictures-digital-entertainment,229.95,mac os x server v10 .4.7 unlimited client,global-software-publishing,46.95,microsoft office visio standard 2007 ( pc ),1
9,sony-pictures-digital-entertainment,999.0,mac os x server v10 .4.7 unlimited client,global-software-publishing,499.0,microsoft office visio standard 2007 ( pc ),1
