,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,sony-pictures-digital-entertainment,29.99,microsoft office & windows training,global-software-publishing,399.99,apple software m9372z/a final cut express 2.0 upgrade,1
1,macsoft,29.99,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,29.99,topics entertainment instant immersion ingles audio deluxe,1
2,global-software-publishing,259.95,microsoft office & windows training,sibelius-software-ltd .,24.58,microsoft money 2007 home and business ( pc ),1
3,me-too-software,1799.0,microsoft word 2007 version upgrade,riverdeep-learning-company,399.99,production prem cs3 mac upgrad,1
4,global-software-publishing,273.0,microsoft office & windows training,global-software-publishing,400.34,microsoft windows vista ultimate retail no open box returns,1
5,sony-pictures-digital-entertainment,29.99,microsoft office & windows training,global-software-publishing,29.99,apple software m9372z/a final cut express 2.0 upgrade,1
6,global-software-publishing,199.99,adobe flash pro cs3 upgrade [ mac ],riverdeep-learning-company,399.99,microsoft windows vista ultimate retail no open box returns,1
7,global-software-publishing,29.99,microsoft office & windows training,global-software-publishing,399.99,microsoft windows vista ultimate retail no open box returns,1
8,global-software-publishing,199.0,adobe acrobat 7.0 professional,global-software-publishing,17.55,microsoft windows vista ultimate retail no open box returns,1
9,me-too-software,229.95,microsoft office & windows training,global-software-publishing,539.95,microsoft windows vista ultimate retail no open box returns,0
