,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,7.40 %,Lavery Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
1,7.40 %,Elevator Barrel Aged Barley Wine ( Bar Bar ),Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
2,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Amber Ale,0
3,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Pizza Port Rhino Chaser Imperial Red Ale,18th Street Brewery,Amber Ale,0
4,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,18th Street Brewery,Amber Ale,0
5,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Big Bear Lake Sidewinder Red Ale,18th Street Brewery,Amber Ale,0
6,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Riverbend Barrel Aged Right Said Red,18th Street Brewery,Amber Ale,0
7,7.40 %,Bulleit Bourbon Barrel Aged G'Knight,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
8,7.40 %,Tongue Buckler ( Bourbon Barrel Aged ),Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
9,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Laurelwood Organic Deranger Imperial Red Ale,18th Street Brewery,Amber Ale,0
